split_mode,candidate,Scope,Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
random_disjoint,subject_lora_rank4,Overall,natural,SBP,3.901790778570673,0.924770489573083,0.0193237733399211,5.804799409023436,74.04924427108728,92.9205265724037,97.5780107264749,PASS*,PASS (Grade A)*
random_disjoint,subject_lora_rank4,Overall,natural,DBP,2.1770816455870823,0.9202864190932254,-0.1215020345048983,3.619475487832853,91.09215017064848,98.2106289614822,99.3466601657728,PASS*,PASS (Grade A)*
random_disjoint,subject_lora_rank4,MIMIC,natural,SBP,4.276870432758425,0.9209312402948474,-0.057025172425071,6.399484545354657,70.95697329376854,91.15727002967358,96.73837784371908,PASS*,PASS (Grade A)*
random_disjoint,subject_lora_rank4,MIMIC,natural,DBP,2.3643203915521487,0.9034374751677122,-0.2669357744098063,4.123055958922498,89.55489614243324,97.5024727992087,98.94906033630068,PASS*,PASS (Grade A)*
random_disjoint,subject_lora_rank4,VitalDB,natural,SBP,3.53717007627854,0.925770092618642,0.0935437581172356,5.160427079649087,77.05528846153847,94.6346153846154,98.39423076923076,PASS*,PASS (Grade A)*
random_disjoint,subject_lora_rank4,VitalDB,natural,DBP,1.9950639800383492,0.9382417756061006,0.019876341498815,3.044684626974451,92.58653846153844,98.89903846153844,99.73317307692308,PASS*,PASS (Grade A)*
random_disjoint,subject_lora_rank4,Overall,ppg_permuted_1,SBP,13.860163795419114,0.202467073587825,0.0193243110429827,18.90033881104012,28.03022915650902,49.39663578742077,64.79887859580693,FAIL*,FAIL (Grade D)*
random_disjoint,subject_lora_rank4,Overall,ppg_permuted_1,DBP,7.385822943883196,0.3525134933703874,-0.1215028392925662,10.320703706923322,47.85226718673818,74.03096050706972,87.442710872745,FAIL*,FAIL (Grade C)*
random_disjoint,subject_lora_rank4,MIMIC,ppg_permuted_1,SBP,13.044466974332,0.3729154170755712,-0.057025172425071,18.022733520092263,30.182987141444112,52.53461918892186,67.71018793273986,FAIL*,FAIL (Grade D)*
random_disjoint,subject_lora_rank4,MIMIC,ppg_permuted_1,DBP,6.781435960926241,0.44808737484285,-0.2669357744098063,9.874150650361148,52.79179030662711,77.98219584569733,89.49802176063304,FAIL*,FAIL (Grade C)*
random_disjoint,subject_lora_rank4,VitalDB,ppg_permuted_1,SBP,14.65311522437976,-0.0832087885634014,0.0935448185297159,19.71599632020171,25.937500000000004,46.34615384615385,61.96874999999999,FAIL*,FAIL (Grade D)*
random_disjoint,subject_lora_rank4,VitalDB,ppg_permuted_1,DBP,7.973356828276928,0.2322545109563922,0.0198747543646739,10.73524747666628,43.05048076923077,70.18990384615384,85.44471153846153,FAIL*,FAIL (Grade C)*
random_disjoint,subject_lora_rank4,Overall,ppg_permuted_2,SBP,13.787035174209391,0.2078857185948035,0.0193238999075217,18.836022416977205,28.289858605558265,49.65382740126768,65.11335933690883,FAIL*,FAIL (Grade D)*
random_disjoint,subject_lora_rank4,Overall,ppg_permuted_2,DBP,7.345867263718619,0.3560281134922042,-0.12150142124256,10.292650820960862,48.0594831789371,74.29180887372013,87.62798634812286,FAIL*,FAIL (Grade C)*
