candidate,backbone,split_mode,seed,view,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,sbp_bias,dbp_bias,continued_reference_mean_mae,initial_reference_mean_mae,gain_vs_continued,gain_vs_initial,run_id
lora_prs_dynamic_shrink,resnet_small,chronological_blocked,20260907,MIMIC,1011,40440,4.51051664352417,2.4458041191101074,3.4781606197357178,0.027647390961647,0.0143773276358842,3.477301597595215,3.5727617740631104,-0.0008590221405029,0.0946011543273925,lora-prs-continuation-v1_chronological_blocked_lora_prs_dynamic_shrink_seed20260907_job1510
lora_prs_bias,resnet_small,chronological_blocked,20260907,MIMIC,1011,40440,4.513371467590332,2.445991039276123,3.4796810150146484,0.1695771813392639,0.0182312130928039,3.477301597595215,3.5727617740631104,-0.0023794174194335,0.0930807590484619,lora-prs-continuation-v1_chronological_blocked_lora_prs_bias_seed20260907_job1508
lora_prs_dynamic_frozen,resnet_small,chronological_blocked,20260907,MIMIC,1011,40440,4.548004150390625,2.4726321697235107,3.5103182792663574,0.0111552011221647,0.0522518679499626,3.477301597595215,3.5727617740631104,-0.0330166816711425,0.0624434947967529,lora-prs-continuation-v1_chronological_blocked_lora_prs_dynamic_frozen_seed20260907_job1511
lora_continue,resnet_small,chronological_blocked,20260907,Overall,2051,82040,4.77730131149292,2.64746618270874,3.712383985519409,0.2060147523880005,0.064871534705162,3.712383985519409,3.794467210769653,0.0,0.0820832252502441,lora-prs-continuation-v1_chronological_blocked_lora_continue_seed20260907_job1507
lora_prs_dynamic_shrink,resnet_small,chronological_blocked,20260907,Overall,2051,82040,4.776055812835693,2.6496102809906006,3.7128329277038574,0.0920992568135261,0.0648960098624229,3.712383985519409,3.794467210769653,-0.0004489421844482,0.0816342830657959,lora-prs-continuation-v1_chronological_blocked_lora_prs_dynamic_shrink_seed20260907_job1510
lora_prs_dynamic,resnet_small,chronological_blocked,20260907,Overall,2051,82040,4.774322986602783,2.651656150817871,3.712989568710327,0.0946498587727546,0.06422720849514,3.712383985519409,3.794467210769653,-0.0006055831909179,0.0814776420593261,lora-prs-continuation-v1_chronological_blocked_lora_prs_dynamic_seed20260907_job1509
lora_prs_bias,resnet_small,chronological_blocked,20260907,Overall,2051,82040,4.7779035568237305,2.649088382720948,3.713495969772339,0.214691624045372,0.0706561803817749,3.712383985519409,3.794467210769653,-0.0011119842529296,0.0809712409973144,lora-prs-continuation-v1_chronological_blocked_lora_prs_bias_seed20260907_job1508
lora_prs_dynamic_frozen,resnet_small,chronological_blocked,20260907,Overall,2051,82040,4.8101019859313965,2.668332099914551,3.7392168045043945,0.0946495980024337,0.1075056195259094,3.712383985519409,3.794467210769653,-0.0268328189849853,0.0552504062652587,lora-prs-continuation-v1_chronological_blocked_lora_prs_dynamic_frozen_seed20260907_job1511
lora_prs_bias,resnet_small,chronological_blocked,20260907,VitalDB,1040,41600,5.035059452056885,2.846522569656372,3.940791130065918,0.2585479915142059,0.1216192990541458,3.940910816192627,4.009990692138672,0.0001196861267089,0.0691995620727539,lora-prs-continuation-v1_chronological_blocked_lora_prs_bias_seed20260907_job1508
lora_continue,resnet_small,chronological_blocked,20260907,VitalDB,1040,41600,5.036088466644287,2.845733165740967,3.940910816192627,0.2479186356067657,0.1115052103996276,3.940910816192627,4.009990692138672,0.0,0.0690798759460449,lora-prs-continuation-v1_chronological_blocked_lora_continue_seed20260907_job1507
lora_prs_dynamic_shrink,resnet_small,chronological_blocked,20260907,VitalDB,1040,41600,5.034190654754639,2.8477330207824707,3.940962076187134,0.1547539681196212,0.1140060275793075,3.940910816192627,4.009990692138672,-5.125999450683594e-05,0.069028615951538,lora-prs-continuation-v1_chronological_blocked_lora_prs_dynamic_shrink_seed20260907_job1510
lora_prs_dynamic,resnet_small,chronological_blocked,20260907,VitalDB,1040,41600,5.035623073577881,2.850451707839966,3.943037271499634,0.1600773930549621,0.113486111164093,3.940910816192627,4.009990692138672,-0.0021264553070068,0.066953420639038,lora-prs-continuation-v1_chronological_blocked_lora_prs_dynamic_seed20260907_job1509
lora_prs_dynamic_frozen,resnet_small,chronological_blocked,20260907,VitalDB,1040,41600,5.064890384674072,2.8585753440856934,3.961732864379883,0.1758157908916473,0.1612186282873153,3.940910816192627,4.009990692138672,-0.0208220481872558,0.048257827758789,lora-prs-continuation-v1_chronological_blocked_lora_prs_dynamic_frozen_seed20260907_job1511
