candidate,backbone,split_mode,seed,view,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,sbp_bias,dbp_bias,continued_reference_mean_mae,initial_reference_mean_mae,gain_vs_continued,gain_vs_initial,run_id
lora_continue,resnet_small,random_disjoint,20260907,MIMIC,1011,40440,4.043434143066406,2.2457029819488525,3.144568920135498,0.0468497052788734,-0.1874385774135589,3.144568920135498,3.320596933364868,0.0,0.1760280132293701,lora-prs-continuation-v1_random_disjoint_lora_continue_seed20260907_job1500
lora_prs_bias,resnet_small,random_disjoint,20260907,MIMIC,1011,40440,4.049209117889404,2.2497949600219727,3.149502277374268,0.04981604591012,-0.1830896884202957,3.144568920135498,3.320596933364868,-0.0049333572387699,0.1710946559906001,lora-prs-continuation-v1_random_disjoint_lora_prs_bias_seed20260907_job1501
lora_prs_dynamic_shrink,resnet_small,random_disjoint,20260907,MIMIC,1011,40440,4.061087608337402,2.25630521774292,3.158696413040161,0.0402618013322353,-0.0751639232039451,3.144568920135498,3.320596933364868,-0.014127492904663,0.161900520324707,lora-prs-continuation-v1_random_disjoint_lora_prs_dynamic_shrink_seed20260907_job1503
lora_prs_dynamic,resnet_small,random_disjoint,20260907,MIMIC,1011,40440,4.063167572021484,2.258777379989624,3.1609723567962646,0.0462112389504909,-0.0752061083912849,3.144568920135498,3.320596933364868,-0.0164034366607666,0.1596245765686035,lora-prs-continuation-v1_random_disjoint_lora_prs_dynamic_seed20260907_job1502
lora_prs_dynamic_frozen,resnet_small,random_disjoint,20260907,MIMIC,1011,40440,4.089378356933594,2.268052577972412,3.178715229034424,0.0808637291193008,-0.1862343549728393,3.144568920135498,3.320596933364868,-0.0341463088989257,0.1418817043304443,lora-prs-continuation-v1_random_disjoint_lora_prs_dynamic_frozen_seed20260907_job1504
lora_continue,resnet_small,random_disjoint,20260907,Overall,2051,82040,3.6913130283355713,2.068883180618286,2.8800981044769287,0.0225152540951967,-0.1182625815272331,2.8800981044769287,3.0394446849823,0.0,0.1593465805053711,lora-prs-continuation-v1_random_disjoint_lora_continue_seed20260907_job1500
lora_prs_bias,resnet_small,random_disjoint,20260907,Overall,2051,82040,3.6973681449890137,2.072637796401977,2.885003089904785,0.0197021588683128,-0.112100102007389,2.8800981044769287,3.0394446849823,-0.0049049854278564,0.1544415950775146,lora-prs-continuation-v1_random_disjoint_lora_prs_bias_seed20260907_job1501
lora_prs_dynamic_shrink,resnet_small,random_disjoint,20260907,Overall,2051,82040,3.703444480895996,2.0790514945983887,2.8912479877471924,0.0222809873521327,-0.0121647352352738,2.8800981044769287,3.0394446849823,-0.0111498832702636,0.1481966972351074,lora-prs-continuation-v1_random_disjoint_lora_prs_dynamic_shrink_seed20260907_job1503
lora_prs_dynamic,resnet_small,random_disjoint,20260907,Overall,2051,82040,3.705751895904541,2.0816099643707275,2.8936808109283447,0.0297828316688537,-0.0138281229883432,2.8800981044769287,3.0394446849823,-0.013582706451416,0.145763874053955,lora-prs-continuation-v1_random_disjoint_lora_prs_dynamic_seed20260907_job1502
lora_prs_dynamic_frozen,resnet_small,random_disjoint,20260907,Overall,2051,82040,3.727367162704468,2.0899806022644043,2.9086740016937256,0.0458315797150135,-0.1267419904470443,2.8800981044769287,3.0394446849823,-0.0285758972167968,0.1307706832885742,lora-prs-continuation-v1_random_disjoint_lora_prs_dynamic_frozen_seed20260907_job1504
lora_continue,resnet_small,random_disjoint,20260907,VitalDB,1040,41600,3.3490102291107178,1.896993637084961,2.62300181388855,-0.0011406311532482,-0.0510155297815799,2.62300181388855,2.766132116317749,0.0,0.1431303024291992,lora-prs-continuation-v1_random_disjoint_lora_continue_seed20260907_job1500
lora_prs_bias,resnet_small,random_disjoint,20260907,VitalDB,1040,41600,3.3553380966186523,1.900420427322388,2.6278791427612305,-0.0095720076933503,-0.0430900268256664,2.62300181388855,2.766132116317749,-0.0048773288726806,0.1382529735565185,lora-prs-continuation-v1_random_disjoint_lora_prs_bias_seed20260907_job1501
lora_prs_dynamic_shrink,resnet_small,random_disjoint,20260907,VitalDB,1040,41600,3.355773448944092,1.9067407846450808,2.6312570571899414,0.0048015601933002,0.0490777380764484,2.62300181388855,2.766132116317749,-0.0082552433013916,0.1348750591278076,lora-prs-continuation-v1_random_disjoint_lora_prs_dynamic_shrink_seed20260907_job1503
lora_prs_dynamic,resnet_small,random_disjoint,20260907,VitalDB,1040,41600,3.3583028316497803,1.9093824625015257,2.6338424682617188,0.0138125196099281,0.0458383597433567,2.62300181388855,2.766132116317749,-0.0108406543731689,0.1322896480560302,lora-prs-continuation-v1_random_disjoint_lora_prs_dynamic_seed20260907_job1502
lora_prs_dynamic_frozen,resnet_small,random_disjoint,20260907,VitalDB,1040,41600,3.375450611114502,1.9168739318847656,2.646162271499634,0.0117762861773371,-0.068908542394638,2.62300181388855,2.766132116317749,-0.0231604576110839,0.1199698448181152,lora-prs-continuation-v1_random_disjoint_lora_prs_dynamic_frozen_seed20260907_job1504
lora_prs_dynamic,resnet_small,chronological_blocked,20260907,MIMIC,1011,40440,4.505527973175049,2.4471583366394043,3.4763431549072266,0.0273455753922462,0.0135553264990448,3.477301597595215,3.5727617740631104,0.0009584426879882,0.0964186191558837,lora-prs-continuation-v1_chronological_blocked_lora_prs_dynamic_seed20260907_job1509
lora_continue,resnet_small,chronological_blocked,20260907,MIMIC,1011,40440,4.511090755462647,2.443511962890625,3.477301597595215,0.1629088670015335,0.0169001501053571,3.477301597595215,3.5727617740631104,0.0,0.0954601764678955,lora-prs-continuation-v1_chronological_blocked_lora_continue_seed20260907_job1507
