Setting,Scope,K,N participants,Worst 30% participants,Worst 30% threshold,Worst 30% mean MAE,Remaining 70% mean MAE,P90 participant mean MAE,P95 participant mean MAE,P99 participant mean MAE,Selection
PPG quality gate,MIMIC,5,316,95,10.881694,14.241230,7.051578,14.637426,16.582238,21.620359,observed query error; oracle diagnostic only
Age and sex,MIMIC,1,316,95,11.935519,16.277973,7.583223,16.059973,20.292236,25.312352,observed query error; oracle diagnostic only
Age and sex,MIMIC,2,316,95,11.722377,15.955492,7.380585,16.151388,19.610625,25.075444,observed query error; oracle diagnostic only
Age and sex,MIMIC,3,316,95,11.650552,15.845915,7.275642,16.425611,18.878617,24.047420,observed query error; oracle diagnostic only
Age and sex,MIMIC,5,316,95,11.302069,15.543997,7.166852,16.210073,17.983059,23.938604,observed query error; oracle diagnostic only
Fixed-first M0,VitalDB,1,381,115,10.114144,13.886228,6.945640,14.369608,17.208030,22.433883,observed query error; oracle diagnostic only
Fixed-first M0,VitalDB,2,381,115,9.646005,12.976147,6.667548,13.296882,15.885000,20.848462,observed query error; oracle diagnostic only
Fixed-first M0,VitalDB,3,381,115,9.503188,12.661637,6.499124,13.329029,15.374685,20.233260,observed query error; oracle diagnostic only
Fixed-first M0,VitalDB,5,381,115,9.244460,12.109617,6.333530,12.596973,14.925685,18.165347,observed query error; oracle diagnostic only
Huber,VitalDB,1,381,115,10.226528,13.785753,6.827294,13.895992,17.272767,22.140930,observed query error; oracle diagnostic only
Huber,VitalDB,2,381,115,9.741580,13.053126,6.622539,13.638509,16.075842,20.197945,observed query error; oracle diagnostic only
Huber,VitalDB,3,381,115,9.541054,12.728823,6.494960,13.177028,15.455605,20.733512,observed query error; oracle diagnostic only
Huber,VitalDB,5,381,115,9.355889,12.224010,6.327587,12.592599,14.754904,18.979817,observed query error; oracle diagnostic only
BP-change sampling,VitalDB,1,381,115,10.237865,14.291207,6.997171,14.724618,17.727180,22.742028,observed query error; oracle diagnostic only
BP-change sampling,VitalDB,2,381,115,9.853679,13.424311,6.673107,13.851683,16.139975,20.031491,observed query error; oracle diagnostic only
BP-change sampling,VitalDB,3,381,115,9.598980,13.015362,6.490397,13.480758,15.232096,19.659675,observed query error; oracle diagnostic only
BP-change sampling,VitalDB,5,381,115,9.437881,12.303110,6.352102,12.812601,14.778081,17.926741,observed query error; oracle diagnostic only
Median anchor,VitalDB,1,381,115,10.097986,13.967163,6.947092,14.118723,17.031766,23.260787,observed query error; oracle diagnostic only
Median anchor,VitalDB,2,381,115,9.675123,13.172832,6.691802,13.580866,16.341172,20.954916,observed query error; oracle diagnostic only
Median anchor,VitalDB,3,381,115,9.517329,13.027856,6.659625,13.731202,15.920290,20.433501,observed query error; oracle diagnostic only
Median anchor,VitalDB,5,381,115,9.483782,12.656495,6.474033,12.887579,15.806638,19.911883,observed query error; oracle diagnostic only
PPG quality gate,VitalDB,1,381,115,9.877454,13.613830,6.908533,13.837202,16.868096,21.707175,observed query error; oracle diagnostic only
PPG quality gate,VitalDB,2,381,115,9.707256,12.927324,6.679780,13.111351,15.826566,20.478794,observed query error; oracle diagnostic only
PPG quality gate,VitalDB,3,381,115,9.238190,12.570401,6.518127,12.704720,15.235884,19.985714,observed query error; oracle diagnostic only
PPG quality gate,VitalDB,5,381,115,9.214086,12.056873,6.343502,12.535227,14.113349,18.584448,observed query error; oracle diagnostic only
Age and sex,VitalDB,1,381,115,10.092093,13.783608,6.917338,14.057361,16.511819,21.972276,observed query error; oracle diagnostic only
Age and sex,VitalDB,2,381,115,9.642246,12.909503,6.621026,13.565384,15.909929,20.160368,observed query error; oracle diagnostic only
Age and sex,VitalDB,3,381,115,9.317181,12.577436,6.469172,13.331813,15.470192,20.119015,observed query error; oracle diagnostic only
Age and sex,VitalDB,5,381,115,9.207603,12.117248,6.316469,12.644140,14.907483,18.030667,observed query error; oracle diagnostic only
