coverage,retained_participants,oracle_mean_mae,oracle_sbp_mae,oracle_dbp_mae,selection_rule
0.5,349,5.746126813206148,7.224483005337217,4.267770621075076,lowest observed participant mean MAE (oracle only)
0.55,384,5.9688754702130495,7.514709525398146,4.423041415027952,lowest observed participant mean MAE (oracle only)
0.6000000000000001,419,6.200916125470894,7.838018856727323,4.563813394214466,lowest observed participant mean MAE (oracle only)
0.6500000000000001,454,6.434409914364813,8.140464298956173,4.728355529773452,lowest observed participant mean MAE (oracle only)
0.7000000000000002,488,6.662602301292646,8.427371769531103,4.897832833054189,lowest observed participant mean MAE (oracle only)
0.7500000000000002,523,6.904559920407525,8.776231090245684,5.032888750569367,lowest observed participant mean MAE (oracle only)
0.8000000000000003,558,7.172267529382003,9.14186190149024,5.202673157273767,lowest observed participant mean MAE (oracle only)
0.8500000000000003,593,7.469956934971139,9.579483783414899,5.36043008652738,lowest observed participant mean MAE (oracle only)
0.9000000000000004,628,7.805853060903515,10.035128629160424,5.576577492646608,lowest observed participant mean MAE (oracle only)
0.9500000000000004,663,8.204641022717826,10.522050120482264,5.8872319249533875,lowest observed participant mean MAE (oracle only)
1.0,697,8.782456021924384,11.211810055262978,6.353101988585788,lowest observed participant mean MAE (oracle only)
