setting,source_scope,cohort,participants,queries,participant_macro_sbp_mae,participant_macro_dbp_mae,participant_macro_mean_mae,tail_membership_from_setting,selection_rule,oracle_only,deployable
Huber,Overall,oracle_retained_70pct_subjects,487,64259,8.53429753081614,4.865041443182639,6.699669486999389,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Huber,MIMIC,overall,316,80874,12.374581357317984,6.700273766287642,9.537427561802811,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
Huber,MIMIC,worst_30pct_subjects,121,33906,18.125101527386256,9.802591812054821,13.963846669720535,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Huber,MIMIC,oracle_retained_70pct_subjects,195,46968,8.80630986717306,4.775245645580829,6.790777756376944,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Huber,VitalDB,overall,381,22690,10.350387557109547,5.864307158515862,8.107347357812705,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
Huber,VitalDB,worst_30pct_subjects,89,5399,16.90477736910139,8.946053319695057,12.925415344398223,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Huber,VitalDB,oracle_retained_70pct_subjects,292,17291,8.352645456879157,4.9250078148687795,6.638826635873968,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Median anchor,Overall,overall,697,103564,11.465080397016969,6.477494351080733,8.97128737404885,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
Median anchor,Overall,worst_30pct_subjects,210,39305,17.892140929622318,9.860954053337252,13.876547491479787,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Median anchor,Overall,oracle_retained_70pct_subjects,487,64259,8.693657990760041,5.01850762115492,6.856082805957483,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Median anchor,MIMIC,overall,316,80874,12.477194267895394,6.987347816487309,9.732271042191352,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
Median anchor,MIMIC,worst_30pct_subjects,121,33906,18.570678679163372,10.35937690489857,14.465027792030968,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Median anchor,MIMIC,oracle_retained_70pct_subjects,195,46968,8.696109069108596,4.894960535985961,6.795534802547279,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Median anchor,VitalDB,overall,381,22690,10.625636871563996,6.054623760349818,8.340130315956909,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
Median anchor,VitalDB,worst_30pct_subjects,89,5399,16.969634551032797,9.183322985484226,13.07647876825851,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Median anchor,VitalDB,oracle_retained_70pct_subjects,292,17291,8.692021140493027,5.10101338008625,6.896517260289638,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
PPG quality gate,Overall,overall,697,103564,10.909839721341568,6.264414158992313,8.58712694016694,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
PPG quality gate,Overall,worst_30pct_subjects,210,39305,16.608888642566207,9.233464861068676,12.921176751817441,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
PPG quality gate,Overall,oracle_retained_70pct_subjects,487,64259,8.452344293298086,4.984125355222219,6.718234824260152,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
PPG quality gate,MIMIC,overall,316,80874,11.716165941189844,6.709882533328158,9.213024237259003,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
PPG quality gate,MIMIC,worst_30pct_subjects,121,33906,16.81253352492077,9.468998445897707,13.140765985409242,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
PPG quality gate,MIMIC,oracle_retained_70pct_subjects,195,46968,8.553804517438861,4.99781573629782,6.7758101268683415,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
PPG quality gate,VitalDB,overall,381,22690,10.241075717477901,5.894944326209828,8.068010021843866,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
PPG quality gate,VitalDB,worst_30pct_subjects,89,5399,16.332023128353825,8.913245043492124,12.622634085922972,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
PPG quality gate,VitalDB,oracle_retained_70pct_subjects,292,17291,8.384588321697228,4.974982806216252,6.67978556395674,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
