scope,risk_group,participants,sbp_mae,dbp_mae,mean_mae,true_tail_fraction
Overall,predicted_low,480,9.899674860465101,5.573914149568569,7.736794505016834,0.225
Overall,predicted_high,217,12.799590961593603,7.481154486918207,10.140372724255904,0.4700460829493088
MIMIC,predicted_low,203,10.414812719243221,5.761483107278488,8.088147913260853,0.21674876847290642
MIMIC,predicted_high,113,13.663215967165824,8.031672694159525,10.847444330662675,0.45132743362831856
VitalDB,predicted_low,277,9.522155057822651,5.436453866481517,7.479304462152083,0.23104693140794225
VitalDB,predicted_high,104,11.861229176693017,6.882995280973314,9.372112228833164,0.49038461538461536
