scope,policy,participants,average_precision,roc_auc,precision,recall,specificity,f1,balanced_accuracy,predicted_high_risk_fraction,true_tail_fraction,true_positives,false_positives,true_negatives,false_negatives
Overall,frozen_meta_train_threshold,697,0.45709832856853866,0.6589615723085949,0.4700460829493088,0.4857142857142857,0.7638603696098563,0.477751756440281,0.624787327662071,0.3113342898134864,0.3012912482065997,102,115,372,108
Overall,fixed_top30_risk_diagnostic,697,0.45709832856853866,0.6589615723085949,0.4714285714285714,0.4714285714285714,0.7720739219712526,0.4714285714285714,0.621751246699912,0.3012912482065997,0.3012912482065997,99,111,376,111
MIMIC,frozen_meta_train_threshold,316,0.47900117308844864,0.6991664682067159,0.45132743362831856,0.5368421052631579,0.7194570135746606,0.4903846153846154,0.6281495594189093,0.3575949367088608,0.30063291139240506,51,62,159,44
MIMIC,fixed_top30_risk_diagnostic,316,0.47900117308844864,0.6991664682067159,0.4842105263157895,0.4842105263157895,0.7782805429864253,0.4842105263157895,0.6312455346511074,0.30063291139240506,0.30063291139240506,46,49,172,49
VitalDB,frozen_meta_train_threshold,381,0.45917262552821553,0.6190585158548545,0.49038461538461536,0.4434782608695652,0.8007518796992481,0.4657534246575343,0.6221150702844067,0.27296587926509186,0.30183727034120733,51,53,213,64
VitalDB,fixed_top30_risk_diagnostic,381,0.45917262552821553,0.6190585158548545,0.4608695652173913,0.4608695652173913,0.7669172932330827,0.4608695652173913,0.6138934292252369,0.30183727034120733,0.30183727034120733,53,62,204,62
