expert,scope,true_tail_participants,general_tail_sbp_mae,general_tail_dbp_mae,general_tail_mean_mae,expert_tail_sbp_mae,expert_tail_dbp_mae,expert_tail_mean_mae,expert_minus_general_tail_mean_mae,oracle_only
QGHuber-weight2,Overall,210,16.6193563878945,9.31681366457986,12.968085026237182,16.34283801574986,9.253179448609737,12.798008732179797,-0.17007629405738456,True
QGHuber-weight2,MIMIC,95,18.045540915845553,10.198137843233338,14.121839379539447,17.604867696273963,10.113227856961043,13.859047776617507,-0.2627916029219399,True
QGHuber-weight2,VitalDB,115,15.441203951761018,8.588763256126985,12.014983603944,15.300291757925603,8.54270467649344,11.921498217209521,-0.09348538673447848,True
QGHuber-weight4,Overall,210,16.6193563878945,9.31681366457986,12.968085026237182,16.4416247400439,9.253013861936928,12.847319300990412,-0.12076572524676976,True
QGHuber-weight4,MIMIC,95,18.045540915845553,10.198137843233338,14.121839379539447,17.63098290380191,10.054372517946236,13.842677710874074,-0.2791616686653722,True
QGHuber-weight4,VitalDB,115,15.441203951761018,8.588763256126985,12.014983603944,15.45911147433076,8.591021928711847,12.025066701521306,0.010083097577306077,True
QGHuber-hard-only,Overall,210,16.6193563878945,9.31681366457986,12.968085026237182,16.816273159189162,9.4019462845707,13.109109721879932,0.14102469564275033,True
QGHuber-hard-only,MIMIC,95,18.045540915845553,10.198137843233338,14.121839379539447,18.074986350581714,10.177383622017047,14.126184986299378,0.004345606759931897,True
QGHuber-hard-only,VitalDB,115,15.441203951761018,8.588763256126985,12.014983603944,15.776466609777923,8.761367614506327,12.268917112142127,0.2539335081981271,True
