candidate,runner,backbone,split_mode,seed,view,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,sbp_bias,dbp_bias,worst_30_mean_mae,retained_70_mean_mae,run_dir
residual_beat_similarity_filter,single_component_residual,resnet_small,random_disjoint,20260831,MIMIC,1011,40440,8.04961109161377,4.312707424163818,6.181159496307373,-0.16035401821136475,-0.3704391419887543,8.933825492858887,4.997551918029785,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_beat_similarity_filter_seed20260831_job1287
residual_cnn_bilstm,single_component_residual,cnn_bilstm_adaptation,random_disjoint,20260831,MIMIC,1011,40440,8.163288116455078,4.395610332489014,6.279448986053467,0.2568056881427765,-0.08663080632686615,9.214173316955566,5.017558574676514,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_cnn_bilstm_seed20260831_job1282
residual_patch_transformer,single_component_residual,patch_transformer,random_disjoint,20260831,MIMIC,1011,40440,8.208805084228516,4.399170875549316,6.303987503051758,0.044078875333070755,-0.25518232583999634,9.116040229797363,5.094844818115234,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_patch_transformer_seed20260831_job1280
residual_cnn_gru,single_component_residual,bp_crnn,random_disjoint,20260831,MIMIC,1011,40440,8.902759552001953,4.722365379333496,6.812561988830566,-0.1780436784029007,-0.377109169960022,10.055906295776367,5.417970180511475,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_cnn_gru_seed20260831_job1283
residual_subject_lora_rank4,single_component_residual,resnet_small,random_disjoint,20260831,Overall,2051,82040,3.966346025466919,2.2043297290802,3.0853376388549805,-0.12349550426006317,-0.19386987388134003,4.530755519866943,2.4648659229278564,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_subject_lora_rank4_seed20260831_job1278
residual_film,single_component_residual,resnet_small,random_disjoint,20260831,Overall,2051,82040,6.1537370681762695,3.406906843185425,4.780322074890137,0.0742967501282692,-0.11425988376140594,6.732142925262451,3.942466974258423,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_film_seed20260831_job1276
residual_support_attention,single_component_residual,resnet_small,random_disjoint,20260831,Overall,2051,82040,6.7819318771362305,3.7059736251831055,5.243952751159668,-0.4057198464870453,-0.16067610681056976,7.340117931365967,4.344135284423828,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_support_attention_seed20260831_job1274
residual_multi_event_weighting,single_component_residual,resnet_small,random_disjoint,20260831,Overall,2051,82040,6.846118927001953,3.7381138801574707,5.292116641998291,-0.19980654120445251,-0.3273508846759796,7.44289493560791,4.3688554763793945,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_multi_event_weighting_seed20260831_job1277
residual_support_reliability,single_component_residual,resnet_small,random_disjoint,20260831,Overall,2051,82040,6.881423473358154,3.781750202178955,5.331586837768555,-0.1172802746295929,0.09419499337673187,7.49763298034668,4.401771545410156,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_support_reliability_seed20260831_job1275
residual_calibration_relative,single_component_residual,resnet_small,random_disjoint,20260831,Overall,2051,82040,6.890957832336426,3.784907579421997,5.337932586669922,-0.057031307369470596,-0.2540881633758545,7.465712547302246,4.424543857574463,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_calibration_relative_seed20260831_job1273
residual_inception_time_wide,single_component_residual,inception_time_wide,random_disjoint,20260831,Overall,2051,82040,7.067562103271484,3.8611257076263428,5.464344501495361,0.29257848858833313,-0.0074477544985711575,7.7943572998046875,4.4641432762146,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_inception_time_wide_seed20260831_job1279
residual_demographics_direct,single_component_residual,resnet_small,random_disjoint,20260831,Overall,2051,82040,7.347494602203369,4.024006366729736,5.685750484466553,0.03949148207902908,-0.19960898160934448,8.002604484558105,4.691198348999023,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_demographics_direct_seed20260831_job1286
residual_conformer,single_component_residual,conformer,random_disjoint,20260831,Overall,2051,82040,7.405087947845459,4.038515567779541,5.721802234649658,0.3124731481075287,-0.018211547285318375,8.026156425476074,4.732614994049072,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_conformer_seed20260831_job1281
residual_quality_gate,single_component_residual,resnet_small,random_disjoint,20260831,Overall,2051,82040,7.618251323699951,4.14229154586792,5.880271911621094,-0.24063467979431152,-0.19782407581806183,8.291494369506836,4.84520959854126,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_quality_gate_seed20260831_job1270
residual_quality_weighted_loss,single_component_residual,resnet_small,random_disjoint,20260831,Overall,2051,82040,7.7016472816467285,4.2006354331970215,5.951141357421875,-0.0669432207942009,-0.02572055347263813,8.393824577331543,4.9025750160217285,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_quality_weighted_loss_seed20260831_job1271
residual_reference,single_component_residual,resnet_small,random_disjoint,20260831,Overall,2051,82040,7.715502738952637,4.209227085113525,5.96236515045166,-0.4563522934913635,-0.4360298216342926,8.391679763793945,4.919537544250488,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_reference_seed20260831_job1269
residual_soft_moe,single_component_residual,resnet_small,random_disjoint,20260831,Overall,2051,82040,7.738353729248047,4.206695079803467,5.972524166107178,-0.0729268342256546,-0.3083654046058655,8.403419494628906,4.929018497467041,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_soft_moe_seed20260831_job1284
residual_ppg_quality_filter,single_component_residual,resnet_small,random_disjoint,20260831,Overall,2051,82040,7.743566513061523,4.217411041259766,5.9804887771606445,-0.09302561730146408,-0.2519555687904358,8.418895721435547,4.933757781982422,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_ppg_quality_filter_seed20260831_job1272
residual_prototype_moe,single_component_residual,resnet_small,random_disjoint,20260831,Overall,2051,82040,7.797225475311279,4.255358695983887,6.026292324066162,-0.5181680917739868,-0.3442315459251404,8.49268913269043,4.967545986175537,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_prototype_moe_seed20260831_job1285
residual_cnn_bilstm,single_component_residual,cnn_bilstm_adaptation,random_disjoint,20260831,Overall,2051,82040,8.053861618041992,4.39739465713501,6.22562837600708,0.2113809585571289,0.02978692390024662,8.825669288635254,5.109513282775879,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_cnn_bilstm_seed20260831_job1282
residual_patch_transformer,single_component_residual,patch_transformer,random_disjoint,20260831,Overall,2051,82040,8.16907787322998,4.438594341278076,6.303836345672607,-0.03392154723405838,-0.13821732997894287,8.82648754119873,5.220941543579102,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_patch_transformer_seed20260831_job1280
residual_beat_similarity_filter,single_component_residual,resnet_small,random_disjoint,20260831,Overall,2051,82040,8.20666217803955,4.462990760803223,6.3348259925842285,-0.2011709213256836,-0.2956200838088989,8.859551429748535,5.251041412353516,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_beat_similarity_filter_seed20260831_job1287
residual_cnn_gru,single_component_residual,bp_crnn,random_disjoint,20260831,Overall,2051,82040,8.772233963012695,4.732419967651367,6.752326965332031,-0.28576695919036865,-0.3108520805835724,9.601911544799805,5.529090404510498,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_cnn_gru_seed20260831_job1283
residual_subject_lora_rank4,single_component_residual,resnet_small,random_disjoint,20260831,VitalDB,1040,41600,3.6055173873901367,2.0304272174835205,2.817972421646118,-0.1347278505563736,-0.09779509156942368,3.9607818126678467,2.3281967639923096,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_subject_lora_rank4_seed20260831_job1278
residual_film,single_component_residual,resnet_small,random_disjoint,20260831,VitalDB,1040,41600,5.986518859863281,3.374690294265747,4.680604457855225,-0.049381740391254425,-0.03659612685441971,6.429866313934326,3.9309208393096924,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_film_seed20260831_job1276
residual_support_attention,single_component_residual,resnet_small,random_disjoint,20260831,VitalDB,1040,41600,6.6377668380737305,3.69667911529541,5.16722297668457,-0.18184144794940948,0.09648245573043823,7.020482063293457,4.372969150543213,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_support_attention_seed20260831_job1274
residual_multi_event_weighting,single_component_residual,resnet_small,random_disjoint,20260831,VitalDB,1040,41600,6.721347332000732,3.744805097579956,5.233076572418213,-0.22439470887184143,-0.17551618814468384,7.140679836273193,4.415532112121582,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_multi_event_weighting_seed20260831_job1277
residual_calibration_relative,single_component_residual,resnet_small,random_disjoint,20260831,VitalDB,1040,41600,6.7476959228515625,3.763336658477783,5.2555155754089355,-0.10528507828712463,-0.1162661537528038,7.147130489349365,4.444823741912842,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_calibration_relative_seed20260831_job1273
residual_support_reliability,single_component_residual,resnet_small,random_disjoint,20260831,VitalDB,1040,41600,6.763393878936768,3.773094415664673,5.26824426651001,0.12018787860870361,0.2746761441230774,7.226271629333496,4.4290900230407715,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_support_reliability_seed20260831_job1275
residual_inception_time_wide,single_component_residual,inception_time_wide,random_disjoint,20260831,VitalDB,1040,41600,7.076132774353027,3.901729106903076,5.488931179046631,0.07208038121461868,0.06913430243730545,7.614163875579834,4.5781168937683105,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_inception_time_wide_seed20260831_job1279
residual_demographics_direct,single_component_residual,resnet_small,random_disjoint,20260831,VitalDB,1040,41600,7.31832218170166,4.053299427032471,5.6858110427856445,-0.04941214621067047,-0.05388287827372551,7.735091209411621,4.8075480461120605,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_demographics_direct_seed20260831_job1286
residual_conformer,single_component_residual,conformer,random_disjoint,20260831,VitalDB,1040,41600,7.351194381713867,4.052028179168701,5.701611518859863,0.2500761151313782,0.12948399782180786,7.755012512207031,4.821582317352295,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_conformer_seed20260831_job1281
residual_quality_gate,single_component_residual,resnet_small,random_disjoint,20260831,VitalDB,1040,41600,7.5587615966796875,4.156397819519043,5.857580661773682,-0.32388409972190857,-0.11864519864320755,8.033145904541016,4.92519474029541,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_quality_gate_seed20260831_job1270
residual_reference,single_component_residual,resnet_small,random_disjoint,20260831,VitalDB,1040,41600,7.6637725830078125,4.223352909088135,5.943562984466553,-0.30613985657691956,-0.2359258234500885,8.105371475219727,5.017073631286621,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_reference_seed20260831_job1269
residual_ppg_quality_filter,single_component_residual,resnet_small,random_disjoint,20260831,VitalDB,1040,41600,7.691086769104004,4.23540735244751,5.963247299194336,-0.13458436727523804,-0.024998096749186516,8.143465042114258,5.028867721557617,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_ppg_quality_filter_seed20260831_job1272
residual_quality_weighted_loss,single_component_residual,resnet_small,random_disjoint,20260831,VitalDB,1040,41600,7.700445652008057,4.240023136138916,5.970234394073486,-0.023672571405768394,0.12861210107803345,8.182168006896973,5.0222625732421875,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_quality_weighted_loss_seed20260831_job1271
residual_prototype_moe,single_component_residual,resnet_small,random_disjoint,20260831,VitalDB,1040,41600,7.769718647003174,4.2806830406188965,6.025199890136719,-0.38231876492500305,-0.1501297503709793,8.24501895904541,5.073849678039551,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_prototype_moe_seed20260831_job1285
residual_soft_moe,single_component_residual,resnet_small,random_disjoint,20260831,VitalDB,1040,41600,7.789072513580322,4.279751300811768,6.034412384033203,-0.4009294807910919,-0.29008299112319946,8.227189064025879,5.094650745391846,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_soft_moe_seed20260831_job1284
residual_cnn_bilstm,single_component_residual,cnn_bilstm_adaptation,random_disjoint,20260831,VitalDB,1040,41600,7.9474873542785645,4.399129390716553,6.1733078956604,0.16722288727760315,0.142958402633667,8.442132949829102,5.200954437255859,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_cnn_bilstm_seed20260831_job1282
residual_patch_transformer,single_component_residual,patch_transformer,random_disjoint,20260831,VitalDB,1040,41600,8.130460739135742,4.476917266845703,6.3036885261535645,-0.10974694788455963,-0.02451387047767639,8.544022560119629,5.343544960021973,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_patch_transformer_seed20260831_job1280
residual_beat_similarity_filter,single_component_residual,resnet_small,random_disjoint,20260831,VitalDB,1040,41600,8.359331130981445,4.609084129333496,6.4842071533203125,-0.2408495992422104,-0.22288727760314941,8.78298568725586,5.499017238616943,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_beat_similarity_filter_seed20260831_job1287
residual_cnn_gru,single_component_residual,bp_crnn,random_disjoint,20260831,VitalDB,1040,41600,8.645347595214844,4.742194652557373,6.693770885467529,-0.39048632979393005,-0.2464425265789032,9.154909133911133,5.6389970779418945,/home/jiangyu.cheng/work/ppg_bp/outputs/same-subject-single-component-v1_random_disjoint_residual_cnn_gru_seed20260831_job1283
