Scope,Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
MIMIC,shared_bilinear32,DBP,2.6925963974376343,0.8846854201944133,-0.226219145834269,4.509408002712193,87.24530168150346,96.97576656775468,98.79327398615231,PASS*,PASS (Grade A)*
VitalDB,shared_bilinear32,SBP,4.1031195908326366,0.9045701149740027,-0.2461663767007681,5.846893038600733,71.21634615384616,92.56009615384616,97.65384615384616,PASS*,PASS (Grade A)*
VitalDB,shared_bilinear32,DBP,2.3397827413907417,0.9210743068083588,0.0795375320086112,3.441100736656215,89.95432692307692,98.50240384615384,99.62259615384616,PASS*,PASS (Grade A)*
Overall,shared_bilinear64,SBP,4.254327067324501,0.9130020946897532,0.1380652778268383,6.240848672502068,70.59970745977571,91.53827401267677,96.99536811311556,PASS*,PASS (Grade A)*
Overall,shared_bilinear64,DBP,2.393461965968236,0.9095247026198948,-0.1430795020675845,3.8555844090676414,89.5014627011214,97.93637250121893,99.25402242808389,PASS*,PASS (Grade A)*
MIMIC,shared_bilinear64,SBP,4.62382147097564,0.9094915245667364,0.2339282729151694,6.843066856881088,67.73986152324431,89.68842729970326,96.05093966369932,PASS*,PASS (Grade A)*
MIMIC,shared_bilinear64,DBP,2.582111451368775,0.8921205211318971,-0.1807377545463343,4.363353353301788,88.01186943620178,97.19584569732936,98.82294757665676,PASS*,PASS (Grade A)*
VitalDB,shared_bilinear64,SBP,3.89513587300594,0.9128541765492902,0.0448753854861626,5.592124539843227,73.3798076923077,93.33653846153848,97.91346153846156,PASS*,PASS (Grade A)*
VitalDB,shared_bilinear64,DBP,2.210072898910596,0.9279355733166708,-0.1064713354752614,3.287281943125673,90.94951923076924,98.65625,99.67307692307692,PASS*,PASS (Grade A)*
Overall,subject_nonlinear_rank4,SBP,3.9230848354226144,0.9228277415082516,-0.0570857036410163,5.879029474815576,74.15407118478791,92.71331058020478,97.42198927352511,PASS*,PASS (Grade A)*
Overall,subject_nonlinear_rank4,DBP,2.182005120416434,0.9201764124060046,-0.1402127743232314,3.621298854617591,91.1555338859093,98.18381277425648,99.37591418820088,PASS*,PASS (Grade A)*
MIMIC,subject_nonlinear_rank4,SBP,4.3022061910167055,0.9192006950837516,0.0787147998338165,6.4689148675584205,71.02126607319485,90.85311572700296,96.5232443125618,PASS*,PASS (Grade A)*
MIMIC,subject_nonlinear_rank4,DBP,2.364399247683592,0.9044499380298852,-0.1846910438952649,4.105818628283091,89.68100890207715,97.48269040553907,99.02818991097922,PASS*,PASS (Grade A)*
VitalDB,subject_nonlinear_rank4,SBP,3.5545351330133585,0.9234162917519104,-0.1890994623074164,5.239055569778079,77.19951923076923,94.5216346153846,98.29567307692308,PASS*,PASS (Grade A)*
VitalDB,subject_nonlinear_rank4,DBP,2.004696983236533,0.9368448472025412,-0.0969747641911873,3.0774644637563453,92.5889423076923,98.8653846153846,99.7139423076923,PASS*,PASS (Grade A)*
