Backbone,Scope,Reference mean participant-macro MAE,Candidate mean participant-macro MAE,Candidate minus reference
resnet_small,Overall,8.70886071203205,8.70886071203205,0.0
resnet_small,MIMIC,9.44870072966104,9.44870072966104,0.0
resnet_small,VitalDB,8.094124837325746,8.094124837325746,0.0
resnet_depth2,Overall,8.70886071203205,8.785277408625653,0.0764166965936024
resnet_depth2,MIMIC,9.44870072966104,9.43896074879587,-0.00973998086517014
resnet_depth2,VitalDB,8.094124837325746,8.242129443761188,0.14800460643544255
resnet_wide1p5,Overall,8.70886071203205,8.706604749911731,-0.0022559621203193103
resnet_wide1p5,MIMIC,9.44870072966104,9.335098847436587,-0.11360188222445267
resnet_wide1p5,VitalDB,8.094124837325746,8.184386622230729,0.0902617849049836
inception_time,Overall,8.70886071203205,8.64110297023507,-0.06775774179698146
inception_time,MIMIC,9.44870072966104,9.296515870263082,-0.15218485939795734
inception_time,VitalDB,8.094124837325746,8.096517907529575,0.00239307020382995
inception_time_wide,Overall,8.70886071203205,8.519713704227678,-0.18914700780437244
inception_time_wide,MIMIC,9.44870072966104,9.099002541791599,-0.34969818786944096
inception_time_wide,VitalDB,8.094124837325746,8.038380413540457,-0.05574442378528843
patch_transformer,Overall,8.70886071203205,8.966192107395617,0.25733139536356653
patch_transformer,MIMIC,9.44870072966104,9.629747713109627,0.18104698344858683
patch_transformer,VitalDB,8.094124837325746,8.414841239674066,0.3207164023483209
patch_transformer_deep,Overall,8.70886071203205,9.020606966649531,0.3117462546174803
patch_transformer_deep,MIMIC,9.44870072966104,9.740239204776826,0.2915384751157859
patch_transformer_deep,VitalDB,8.094124837325746,8.42266181252044,0.3285369751946945
patch_transformer_wide,Overall,8.70886071203205,9.048791336736173,0.33993062470412205
patch_transformer_wide,MIMIC,9.44870072966104,9.639868350035885,0.19116762037484492
patch_transformer_wide,VitalDB,8.094124837325746,8.557663206151867,0.4635383688261214
patch_transformer_highres,Overall,8.70886071203205,8.875562740709684,0.1667020286776335
patch_transformer_highres,MIMIC,9.44870072966104,9.499158676163407,0.05045794650236779
patch_transformer_highres,VitalDB,8.094124837325746,8.357414514458045,0.263289677132299
patch_transformer_longpatch,Overall,8.70886071203205,9.285846907787626,0.5769861957555751
patch_transformer_longpatch,MIMIC,9.44870072966104,9.99167438016785,0.542973650506811
patch_transformer_longpatch,VitalDB,8.094124837325746,8.699372185839044,0.6052473485132985
conformer,Overall,8.70886071203205,9.112365690190877,0.4035049781588267
conformer,MIMIC,9.44870072966104,9.655973752672086,0.20727302301104622
conformer,VitalDB,8.094124837325746,8.660679690753142,0.5665548534273963
conformer_large,Overall,8.70886071203205,9.280061855940248,0.5712011439081977
conformer_large,MIMIC,9.44870072966104,9.989508240198804,0.5408075105377641
conformer_large,VitalDB,8.094124837325746,8.690580166395968,0.5964553290702224
convnext_1d,Overall,8.70886071203205,9.01598319071774,0.30712247868568987
convnext_1d,MIMIC,9.44870072966104,9.716983112883543,0.26828238322250364
convnext_1d,VitalDB,8.094124837325746,8.43351969853916,0.3393948612134139
