Backbone,Model,Setting,Scope,N participants,N queries,SBP participant-macro MAE,DBP participant-macro MAE,Mean participant-macro MAE
resnet_small,Population,resnet_small | Population,Overall,628,96332,14.11589638941937,8.851018112702498,11.483457251060933
resnet_small,Population,resnet_small | Population,MIMIC,285,74373,16.000088576917822,9.482300652220115,12.741194614568967
resnet_small,Population,resnet_small | Population,VitalDB,343,21959,12.550313959573714,8.32648305800127,10.43839850878749
resnet_small,QGH,resnet_small | QGH,Overall,628,96332,11.025481951487082,6.392239472577018,8.70886071203205
resnet_small,QGH,resnet_small | QGH,MIMIC,285,74373,12.119919067442657,6.777482391879422,9.44870072966104
resnet_small,QGH,resnet_small | QGH,VitalDB,343,21959,10.1161100038272,6.072139670824292,8.094124837325746
resnet_depth2,Population,resnet_depth2 | Population,Overall,628,96332,14.144885321127914,8.897700738672707,11.521293029900308
resnet_depth2,Population,resnet_depth2 | Population,MIMIC,285,74373,16.215625130477505,9.465621705689564,12.840623418083533
resnet_depth2,Population,resnet_depth2 | Population,VitalDB,343,21959,12.42429976525435,8.425813054708259,10.425056409981304
resnet_depth2,QGH,resnet_depth2 | QGH,Overall,628,96332,11.199012507324563,6.3715423099267445,8.785277408625653
resnet_depth2,QGH,resnet_depth2 | QGH,MIMIC,285,74373,12.17467297711831,6.703248520473429,9.43896074879587
resnet_depth2,QGH,resnet_depth2 | QGH,VitalDB,343,21959,10.388332525134425,6.095926362387955,8.242129443761188
resnet_wide1p5,Population,resnet_wide1p5 | Population,Overall,628,96332,14.342991147181452,8.873765531952506,11.608378339566979
resnet_wide1p5,Population,resnet_wide1p5 | Population,MIMIC,285,74373,16.305137028803035,9.449541914801795,12.877339471802413
resnet_wide1p5,Population,resnet_wide1p5 | Population,VitalDB,343,21959,12.712636697437576,8.39535075320018,10.553993725318877
resnet_wide1p5,QGH,resnet_wide1p5 | QGH,Overall,628,96332,11.12872605583082,6.284483443992644,8.706604749911731
resnet_wide1p5,QGH,resnet_wide1p5 | QGH,MIMIC,285,74373,12.0862034383742,6.583994256498972,9.335098847436587
resnet_wide1p5,QGH,resnet_wide1p5 | QGH,VitalDB,343,21959,10.333154469752499,6.0356187747089605,8.184386622230729
inception_time,Population,inception_time | Population,Overall,628,96332,14.199680773865538,8.839916147024114,11.519798460444827
inception_time,Population,inception_time | Population,MIMIC,285,74373,16.283095520604498,9.510486059023062,12.89679078981378
inception_time,Population,inception_time | Population,VitalDB,343,21959,12.468563564476023,8.282737065625572,10.375650315050798
inception_time,QGH,inception_time | QGH,Overall,628,96332,11.023297695081405,6.2589082453887315,8.64110297023507
inception_time,QGH,inception_time | QGH,MIMIC,285,74373,11.9974788789795,6.5955528615466665,9.296515870263082
inception_time,QGH,inception_time | QGH,VitalDB,343,21959,10.213846857148589,5.979188957910564,8.096517907529575
inception_time_wide,Population,inception_time_wide | Population,Overall,628,96332,14.171334624972335,8.820547637652759,11.495941131312549
inception_time_wide,Population,inception_time_wide | Population,MIMIC,285,74373,16.276664164099238,9.56933249085127,12.922998327475254
inception_time_wide,Population,inception_time_wide | Population,VitalDB,343,21959,12.422008331528703,8.198379465170031,10.310193898349368
inception_time_wide,QGH,inception_time_wide | QGH,Overall,628,96332,10.875861838787829,6.1635655696675276,8.519713704227678
inception_time_wide,QGH,inception_time_wide | QGH,MIMIC,285,74373,11.731040024360851,6.466965059222345,9.099002541791599
inception_time_wide,QGH,inception_time_wide | QGH,VitalDB,343,21959,10.165291043195085,5.911469783885827,8.038380413540457
patch_transformer,Population,patch_transformer | Population,Overall,628,96332,14.420523420352305,8.998668148418938,11.709595784385623
patch_transformer,Population,patch_transformer | Population,MIMIC,285,74373,16.57376790021237,9.582785658472348,13.078276779342358
patch_transformer,Population,patch_transformer | Population,VitalDB,343,21959,12.631384421051669,8.51332269545911,10.572353558255388
patch_transformer,QGH,patch_transformer | QGH,Overall,628,96332,11.40871056837981,6.523673646411425,8.966192107395617
patch_transformer,QGH,patch_transformer | QGH,MIMIC,285,74373,12.394053173009576,6.865442253209677,9.629747713109627
patch_transformer,QGH,patch_transformer | QGH,VitalDB,343,21959,10.589985663658286,6.239696815689846,8.414841239674066
patch_transformer_deep,Population,patch_transformer_deep | Population,Overall,628,96332,14.431236930936757,9.057174009599033,11.744205470267895
patch_transformer_deep,Population,patch_transformer_deep | Population,MIMIC,285,74373,16.626158020319092,9.798396455195471,13.21227723775728
patch_transformer_deep,Population,patch_transformer_deep | Population,VitalDB,343,21959,12.607468678826075,8.44128947025505,10.524379074540564
patch_transformer_deep,QGH,patch_transformer_deep | QGH,Overall,628,96332,11.523163882374478,6.518050050924587,9.020606966649531
patch_transformer_deep,QGH,patch_transformer_deep | QGH,MIMIC,285,74373,12.600901442462145,6.879576967091507,9.740239204776826
patch_transformer_deep,QGH,patch_transformer_deep | QGH,VitalDB,343,21959,10.62766765897802,6.217655966062859,8.42266181252044
patch_transformer_wide,Population,patch_transformer_wide | Population,Overall,628,96332,14.436686324983718,9.044762811067107,11.740724568025412
patch_transformer_wide,Population,patch_transformer_wide | Population,MIMIC,285,74373,16.40574787465875,9.691010257274456,13.048379065966603
patch_transformer_wide,Population,patch_transformer_wide | Population,VitalDB,343,21959,12.800585620443238,8.507793358679073,10.654189489561155
patch_transformer_wide,QGH,patch_transformer_wide | QGH,Overall,628,96332,11.53818614625471,6.559396527217637,9.048791336736173
patch_transformer_wide,QGH,patch_transformer_wide | QGH,MIMIC,285,74373,12.446989665418132,6.832747034653634,9.639868350035885
patch_transformer_wide,QGH,patch_transformer_wide | QGH,VitalDB,343,21959,10.783057857736997,6.332268554566735,8.557663206151867
patch_transformer_highres,Population,patch_transformer_highres | Population,Overall,628,96332,14.576864485447954,9.022027906589555,11.799446196018755
patch_transformer_highres,Population,patch_transformer_highres | Population,MIMIC,285,74373,16.71830422205003,9.751940790433046,13.235122506241536
patch_transformer_highres,Population,patch_transformer_highres | Population,VitalDB,343,21959,12.79753409206139,8.415540524970329,10.60653730851586
patch_transformer_highres,QGH,patch_transformer_highres | QGH,Overall,628,96332,11.321510785248167,6.4296146961712,8.875562740709684
patch_transformer_highres,QGH,patch_transformer_highres | QGH,MIMIC,285,74373,12.282821636619758,6.71549571570706,9.499158676163407
patch_transformer_highres,QGH,patch_transformer_highres | QGH,VitalDB,343,21959,10.522753955391304,6.192075073524785,8.357414514458045
patch_transformer_longpatch,Population,patch_transformer_longpatch | Population,Overall,628,96332,14.537019015711008,9.071296136209055,11.804157575960033
patch_transformer_longpatch,Population,patch_transformer_longpatch | Population,MIMIC,285,74373,16.669060681087583,9.729606881660542,13.199333781374062
patch_transformer_longpatch,Population,patch_transformer_longpatch | Population,VitalDB,343,21959,12.765497515325224,8.524303242758112,10.644900379041667
patch_transformer_longpatch,QGH,patch_transformer_longpatch | QGH,Overall,628,96332,11.895453901480552,6.6762399140946975,9.285846907787626
patch_transformer_longpatch,QGH,patch_transformer_longpatch | QGH,MIMIC,285,74373,12.98420153040775,6.99914722992795,9.99167438016785
patch_transformer_longpatch,QGH,patch_transformer_longpatch | QGH,VitalDB,343,21959,10.990809370156207,6.407935001521877,8.699372185839044
conformer,Population,conformer | Population,Overall,628,96332,14.401851143572461,9.02507357143619,11.713462357504325
conformer,Population,conformer | Population,MIMIC,285,74373,16.46261294360052,9.752580166528478,13.107596555064498
conformer,Population,conformer | Population,VitalDB,343,21959,12.68955635346168,8.420585584260385,10.555070968861033
conformer,QGH,conformer | QGH,Overall,628,96332,11.61807757976157,6.606653800620191,9.112365690190877
conformer,QGH,conformer | QGH,MIMIC,285,74373,12.515210786829256,6.796736718514915,9.655973752672086
conformer,QGH,conformer | QGH,VitalDB,343,21959,10.872646197795707,6.44871318371058,8.660679690753142
conformer_large,Population,conformer_large | Population,Overall,628,96332,14.54714820767493,9.025565210328582,11.786356709001756
conformer_large,Population,conformer_large | Population,MIMIC,285,74373,16.649389627220067,9.689324948652333,13.169357287936203
conformer_large,Population,conformer_large | Population,VitalDB,343,21959,12.800387844496028,8.474044728047916,10.637216286271972
conformer_large,QGH,conformer_large | QGH,Overall,628,96332,11.826429396315955,6.733694315564543,9.280061855940248
conformer_large,QGH,conformer_large | QGH,MIMIC,285,74373,12.852990479304127,7.1260260010934795,9.989508240198804
conformer_large,QGH,conformer_large | QGH,VitalDB,343,21959,10.973455901704789,6.407704431087146,8.690580166395968
convnext_1d,Population,convnext_1d | Population,Overall,628,96332,14.09746875948458,8.861125852681946,11.47929730608326
convnext_1d,Population,convnext_1d | Population,MIMIC,285,74373,15.856940865459011,9.444241727612036,12.650591296535522
convnext_1d,Population,convnext_1d | Population,VitalDB,343,21959,12.635516718077257,8.376612662142364,10.50606469010981
convnext_1d,QGH,convnext_1d | QGH,Overall,628,96332,11.475498233634136,6.556468147801348,9.01598319071774
convnext_1d,QGH,convnext_1d | QGH,MIMIC,285,74373,12.474409016976773,6.959557208790314,9.716983112883543
convnext_1d,QGH,convnext_1d | QGH,VitalDB,343,21959,10.645499477795504,6.221539919282818,8.43351969853916
