Setting,Scope,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
resnet_small | Population,Overall,SBP,15.392578401167812,0.21804617826696882,-3.8023099067166166,19.36631624355552,20.989909894946642,40.74347049786156,57.73159490096749,FAIL*,FAIL (Grade D)*
resnet_small | Population,Overall,DBP,8.75518121873854,0.2109917717691523,-0.43502706111490685,11.636334753355346,37.383216376697256,65.95316198148072,83.46966740024084,FAIL*,FAIL (Grade D)*
resnet_small | QGH,Overall,SBP,12.447018345074804,0.4523249304816124,-0.9167492415772897,16.491544022290576,28.072706888676656,51.43254577918034,68.65942781214966,FAIL*,FAIL (Grade D)*
resnet_small | QGH,Overall,DBP,6.815764075166935,0.47190859776867433,-0.9485052689100101,9.479160884785527,48.539426151227005,77.87547232487647,91.01959888718183,FAIL*,FAIL (Grade C)*
tcn_bp | Population,Overall,SBP,15.493982498604444,0.21296060346474355,-0.12630260743160124,19.799727841193153,21.108250633226756,40.42478096582652,57.01843624133206,FAIL*,FAIL (Grade D)*
tcn_bp | Population,Overall,DBP,9.001248523354343,0.1621375465672079,-1.3939612450787076,11.91831114716502,36.21122783706349,64.76144998546692,82.62467300585476,FAIL*,FAIL (Grade D)*
tcn_bp | QGH,Overall,SBP,12.633824047311034,0.44455454553276497,-0.5016753126048917,16.626196679150855,27.295187476643274,50.219034173483365,67.59020886102229,FAIL*,FAIL (Grade D)*
tcn_bp | QGH,Overall,DBP,6.9645645988317435,0.455758232389319,-0.7862536800935885,9.639058683686702,47.43802682390068,77.20279865465265,90.64589129261304,FAIL*,FAIL (Grade C)*
fewshot_resnet_attention | Population,Overall,SBP,15.418716196097375,0.2321445702939774,0.06782355038881395,19.557211787049035,20.897521072956028,39.9389610928871,56.44957023626625,FAIL*,FAIL (Grade D)*
fewshot_resnet_attention | Population,Overall,DBP,9.347173211155104,0.16387522513495634,2.07473171539234,11.806189344622759,32.81671718639704,60.47626956774488,81.24195490595025,FAIL*,FAIL (Grade D)*
fewshot_resnet_attention | QGH,Overall,SBP,12.82438279465101,0.4223425804307307,-0.7693785748972449,16.94563411344051,27.331520159448573,50.29481376904871,67.22065357305983,FAIL*,FAIL (Grade D)*
fewshot_resnet_attention | QGH,Overall,DBP,7.250823076804953,0.4209550058395344,-0.43345976281403675,9.966082872619861,45.35564506083129,75.15778765104015,89.80089689822697,FAIL*,FAIL (Grade C)*
