Setting,Overall mean-MAE gain,MIMIC mean-MAE gain,VitalDB mean-MAE gain,Overall SBP MAE worsening,Overall DBP MAE worsening,All-scope SBP/DBP pooled STD decreases,Overall SBP mean within-threshold gain (pp),Overall DBP mean within-threshold gain (pp),Minimum individual within-threshold change (pp),Primary gate,Tail gate,Advance
calibration_relative,0.1586134802501551,0.12533209307647297,0.18626711099213367,-0.15703527348762947,-0.16019168701268072,True,0.22560865894337923,0.5162701213857636,-0.008067443830420018,True,False,True
calibration_relative_standards,0.12879691680885053,0.09736434372653235,0.1549143609151491,-0.15263149410019494,-0.104962339517507,True,-0.012110894268435146,0.29204556464449877,-0.4235408010971753,False,False,False
