Setting,Scope,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
inception_time_wide_qgh,Overall,SBP,12.284267030930243,0.4642618835993477,-1.1149855967864344,16.297918386882696,28.71631441265623,52.22148403438109,69.10891500228377,FAIL*,FAIL (Grade D)*
inception_time_wide_qgh,Overall,DBP,6.760815246174867,0.4825404188449298,-1.0501654052731504,9.371456240199857,48.42108541294689,78.3083502885853,91.42756301125276,FAIL*,FAIL (Grade C)*
calibration_relative,Overall,SBP,12.18910211641609,0.4748849147569155,-1.1824785803506954,16.129955553550822,28.861645143877425,52.42079475148444,69.44109953078936,FAIL*,FAIL (Grade D)*
calibration_relative,Overall,DBP,6.663541606128713,0.4928888007806709,-0.8680641984843646,9.294896758082805,49.36469708923307,78.57617406469294,91.76493792301623,FAIL*,FAIL (Grade C)*
calibration_relative_standards,Overall,SBP,12.322286460805074,0.4629843700137424,-2.2905284956056513,16.194293366569553,28.631192127226672,52.21733172777478,69.16185691151433,FAIL*,FAIL (Grade D)*
calibration_relative_standards,Overall,DBP,6.736333041539571,0.4799816487155093,-1.6458729459519492,9.309020232046635,48.94427604534319,78.5678694514803,91.52098990989495,FAIL*,FAIL (Grade C)*
inception_time_wide_qgh,MIMIC,SBP,12.890978904151552,0.4453167516111759,-1.480583341232689,16.965272242096187,27.329810549527384,50.21311497452032,66.74868567894264,FAIL*,FAIL (Grade D)*
inception_time_wide_qgh,MIMIC,DBP,6.964331913560631,0.45964617877201897,-1.220289120488592,9.612017768208954,47.29673402982265,77.17182310784828,90.7399190566469,FAIL*,FAIL (Grade C)*
calibration_relative,MIMIC,SBP,12.828569209248997,0.45380339665258274,-1.3795829836756406,16.842569739042013,27.395694674142497,50.2050475306899,66.90868998157934,FAIL*,FAIL (Grade D)*
calibration_relative,MIMIC,DBP,6.881525063419869,0.46863426459218205,-0.895701606186942,9.566407194567622,48.138437336130046,77.39233323921314,91.03975905234427,FAIL*,FAIL (Grade C)*
calibration_relative_standards,MIMIC,SBP,13.007097655224939,0.43935883343633053,-2.4842004970575657,16.93978581329308,27.02459225794307,49.78957417342315,66.47708173665174,FAIL*,FAIL (Grade D)*
calibration_relative_standards,MIMIC,DBP,6.959566496907016,0.4544020650451036,-1.7267118845953113,9.581729443529872,47.65842442821992,77.40443440495879,90.81118147714896,FAIL*,FAIL (Grade C)*
inception_time_wide_qgh,VitalDB,SBP,10.229392849633808,0.4857112035432172,0.12325845110742643,13.728155048210871,33.41226831822943,59.02363495605446,77.10278245821759,FAIL*,FAIL (Grade D)*
inception_time_wide_qgh,VitalDB,DBP,6.071524062446946,0.5469450530256222,-0.47397290690264005,8.481197236255232,52.22915433307528,82.15765745252516,93.7565462908147,FAIL*,PASS (Grade B)*
calibration_relative,VitalDB,SBP,10.023289187992122,0.5080473818398998,-0.5149051121378369,13.417395214357736,33.826676988933926,59.925315360444465,78.01812468691652,FAIL*,FAIL (Grade D)*
calibration_relative,VitalDB,DBP,5.925252810231121,0.5627231701965464,-0.7744589831711085,8.309191668615044,53.51791975955189,82.58572794753859,94.22104831731863,FAIL*,PASS (Grade B)*
calibration_relative_standards,VitalDB,SBP,10.002897464831271,0.5068827405014367,-1.6345802391284294,13.34340583175071,34.072589826494834,60.43991074274785,78.2549296416048,FAIL*,FAIL (Grade D)*
calibration_relative_standards,VitalDB,DBP,5.980263012119156,0.554208341375747,-1.3720793131033318,8.313597235170942,53.29933057060886,82.50831094312127,93.92504212395829,FAIL*,PASS (Grade B)*
