Setting,Scope,N participants,N queries,SBP participant-macro MAE,DBP participant-macro MAE,Mean participant-macro MAE
T10-0 Frozen-encoder reference,Overall,628,96332,10.894632073761887,6.169715952116043,8.532174012938965
T10-0 Frozen-encoder reference,MIMIC,285,74373,12.027087251608025,6.397178824435168,9.212133038021596
T10-0 Frozen-encoder reference,VitalDB,343,21959,9.95367077438536,5.9807161894019005,7.967193481893632
T10-1 Projection-only adaptation,Overall,628,96332,10.958494687331525,6.211289761922442,8.584892224626985
T10-1 Projection-only adaptation,MIMIC,285,74373,12.148158375018895,6.477670967913913,9.312914671466404
T10-1 Projection-only adaptation,VitalDB,343,21959,9.969998620302663,5.9899526082560595,7.979975614279361
T10-2 Last-block adaptation,Overall,628,96332,10.876369827553965,6.183415792553595,8.52989281005378
T10-2 Last-block adaptation,MIMIC,285,74373,12.0317101221501,6.420164301249026,9.225937211699563
T10-2 Last-block adaptation,VitalDB,343,21959,9.916393197933273,5.986700559381006,7.95154687865714
T10-3 Last-two-block adaptation,Overall,628,96332,10.92510607308806,6.174650145154869,8.549878109121465
T10-3 Last-two-block adaptation,MIMIC,285,74373,12.060606180709469,6.41458549997987,9.237595840344667
T10-3 Last-two-block adaptation,VitalDB,343,21959,9.98161473002071,5.975286949454798,7.9784508397377545
T10-4 Full-encoder adaptation,Overall,628,96332,10.932609701934094,6.21545970349454,8.574034702714318
T10-4 Full-encoder adaptation,MIMIC,285,74373,11.978970747342576,6.414906388631068,9.19693856798682
T10-4 Full-encoder adaptation,VitalDB,343,21959,10.063184343504306,6.0497386968942175,8.056461520199262
T10-5 Last block + pair direction,Overall,628,96332,10.853412117955793,6.1835053448684265,8.518458731412109
T10-5 Last block + pair direction,MIMIC,285,74373,12.021497531978325,6.421315498502907,9.221406515240616
T10-5 Last block + pair direction,VitalDB,343,21959,9.882845520298586,5.985907986892255,7.93437675359542
T10-6 Last block + temporal consistency,Overall,628,96332,10.796079722172683,6.1157602465963,8.455919984384492
T10-6 Last block + temporal consistency,MIMIC,285,74373,11.899986082385418,6.338950137983966,9.119468110184691
T10-6 Last block + temporal consistency,VitalDB,343,21959,9.878839743570266,5.9303109199330795,7.904575331751672
T10-7 Last block + adaptive fusion,Overall,628,96332,10.925384031663,6.199859217350457,8.562621624506727
T10-7 Last block + adaptive fusion,MIMIC,285,74373,12.059044886377341,6.4273814280708335,9.243213157224089
T10-7 Last block + adaptive fusion,VitalDB,343,21959,9.983420930807059,6.010810150133818,7.997115540470437
T10-8 Last block + direction + temporal,Overall,628,96332,10.782037349626375,6.109333540231872,8.445685444929124
T10-8 Last block + direction + temporal,MIMIC,285,74373,11.917655034889801,6.361696808630651,9.139675921760226
T10-8 Last block + direction + temporal,VitalDB,343,21959,9.838448310850643,5.899643944040466,7.8690461274455545
