Setting,Scope,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
T10-0 Frozen-encoder reference,Overall,SBP,12.56265708677432,0.4455144259191208,-2.3312646897146,16.455063154632384,27.882738861437527,50.806585558277625,67.9317360793921,FAIL*,FAIL (Grade D)*
T10-0 Frozen-encoder reference,Overall,DBP,6.7113885683122945,0.4914992615092242,-1.0927499948410093,9.284036339352966,49.07714985674542,78.2055807000789,91.47323838392228,FAIL*,FAIL (Grade C)*
T10-1 Projection-only adaptation,Overall,SBP,12.616815399606347,0.44155307911189323,-2.7460356706141873,16.451030864563553,27.65436199808994,50.53668562886684,67.64626500020762,FAIL*,FAIL (Grade D)*
T10-1 Projection-only adaptation,Overall,DBP,6.761306324366608,0.48270909019031005,-1.6100865211859348,9.290083889433083,48.63077689656604,78.23568492297471,91.45455300419383,FAIL*,FAIL (Grade C)*
T10-2 Last-block adaptation,Overall,SBP,12.492752482751365,0.4512455793713719,-2.6092949750566543,16.326071927301175,27.87962463148279,51.021467425154675,68.21824523522817,FAIL*,FAIL (Grade D)*
T10-2 Last-block adaptation,Overall,DBP,6.7016861490403645,0.49074708028360026,-1.483852517981033,9.236604854963675,48.93285720217581,78.51907984885604,91.60611219532451,FAIL*,FAIL (Grade C)*
T10-3 Last-two-block adaptation,Overall,SBP,12.449561232204493,0.4513737096124091,-0.5054752227112806,16.523612879717277,28.153676867499893,51.15434123655691,68.42482248889257,FAIL*,FAIL (Grade D)*
T10-3 Last-two-block adaptation,Overall,DBP,6.7091456329905865,0.49311157488194146,-0.6912807037009455,9.30765763331013,49.050159863804346,78.28343644894738,91.48569530374124,FAIL*,FAIL (Grade C)*
T10-4 Full-encoder adaptation,Overall,SBP,12.506321396006676,0.44006294639768306,-0.8904535655140053,16.677127015500783,28.5263463854171,51.41386039945189,68.52655400074742,FAIL*,FAIL (Grade D)*
T10-4 Full-encoder adaptation,Overall,DBP,6.755315519911692,0.48280737384884576,-1.0636691578226727,9.367484721773202,49.11244446289914,78.04571689573558,91.17738653822198,FAIL*,FAIL (Grade C)*
T10-5 Last block + pair direction,Overall,SBP,12.480852137797779,0.4520009150226195,-2.5354618366514003,16.32618232658037,27.897271934559647,51.04015280488311,68.25042561142715,FAIL*,FAIL (Grade D)*
T10-5 Last block + pair direction,Overall,DBP,6.703173939570707,0.49007384295520184,-1.501616495960818,9.239996365550331,48.992027571315866,78.57098368143504,91.56355105260972,FAIL*,FAIL (Grade C)*
T10-6 Last block + temporal consistency,Overall,SBP,12.373750758733266,0.46163041138321104,-1.6703364311881896,16.29067533297331,28.09865880496616,51.51351575800357,68.68434165178758,FAIL*,FAIL (Grade D)*
T10-6 Last block + temporal consistency,Overall,DBP,6.6367389305544116,0.5034445607662337,-0.7957959162205481,9.203331509065826,49.6273304820828,78.70281941618569,91.63310218826558,FAIL*,FAIL (Grade C)*
T10-7 Last block + adaptive fusion,Overall,SBP,12.577127791193744,0.4437765313018269,-3.0165164319162874,16.369794757518378,27.6668189179089,50.7920524851555,67.97014491550057,FAIL*,FAIL (Grade D)*
T10-7 Last block + adaptive fusion,Overall,DBP,6.721840719094699,0.4869401190969507,-1.603945964423603,9.251933811243163,48.987875264709544,78.43084333347174,91.50230453016651,FAIL*,FAIL (Grade C)*
T10-8 Last block + direction + temporal,Overall,SBP,12.38522349257899,0.4583317801065615,-1.90466664354086,16.31537613757538,28.025993439355563,51.7086741685006,68.66150396545281,FAIL*,FAIL (Grade D)*
T10-8 Last block + direction + temporal,Overall,DBP,6.682759337562189,0.4971590931360679,-0.6395767378236934,9.27392706693958,49.37403977909729,78.38724411410539,91.41095378482747,FAIL*,FAIL (Grade C)*
T10-0 Frozen-encoder reference,MIMIC,SBP,13.338100383240397,0.41575365227298045,-2.893202357694686,17.23655317421892,26.018850927083754,47.92868379653907,64.86224839659553,FAIL*,FAIL (Grade D)*
T10-0 Frozen-encoder reference,MIMIC,DBP,6.8992648580093014,0.47086318213728895,-1.0309176267941038,9.532491047411412,48.13171446627136,77.1005606873462,90.8125260511207,FAIL*,FAIL (Grade C)*
