Setting,Scope,Reference mean participant-macro MAE,Candidate mean participant-macro MAE,Candidate minus reference
T10-0 Frozen-encoder reference,Overall,8.532174012938965,8.532174012938965,0.0
T10-0 Frozen-encoder reference,MIMIC,9.212133038021596,9.212133038021596,0.0
T10-0 Frozen-encoder reference,VitalDB,7.967193481893632,7.967193481893632,0.0
T10-1 Projection-only adaptation,Overall,8.532174012938965,8.584892224626985,0.05271821168802049
T10-1 Projection-only adaptation,MIMIC,9.212133038021596,9.312914671466404,0.10078163344480728
T10-1 Projection-only adaptation,VitalDB,7.967193481893632,7.979975614279361,0.012782132385729561
T10-2 Last-block adaptation,Overall,8.532174012938965,8.52989281005378,-0.002281202885184186
T10-2 Last-block adaptation,MIMIC,9.212133038021596,9.225937211699563,0.013804173677966602
T10-2 Last-block adaptation,VitalDB,7.967193481893632,7.95154687865714,-0.015646603236491252
T10-3 Last-two-block adaptation,Overall,8.532174012938965,8.549878109121465,0.01770409618250035
T10-3 Last-two-block adaptation,MIMIC,9.212133038021596,9.237595840344667,0.025462802323071188
T10-3 Last-two-block adaptation,VitalDB,7.967193481893632,7.9784508397377545,0.01125735784412285
T10-4 Full-encoder adaptation,Overall,8.532174012938965,8.574034702714318,0.041860689775353066
T10-4 Full-encoder adaptation,MIMIC,9.212133038021596,9.19693856798682,-0.015194470034776586
T10-4 Full-encoder adaptation,VitalDB,7.967193481893632,8.056461520199262,0.08926803830563035
T10-5 Last block + pair direction,Overall,8.532174012938965,8.518458731412109,-0.013715281526856415
T10-5 Last block + pair direction,MIMIC,9.212133038021596,9.221406515240616,0.009273477219020165
T10-5 Last block + pair direction,VitalDB,7.967193481893632,7.93437675359542,-0.03281672829821147
T10-6 Last block + temporal consistency,Overall,8.532174012938965,8.455919984384492,-0.07625402855447305
T10-6 Last block + temporal consistency,MIMIC,9.212133038021596,9.119468110184691,-0.09266492783690516
T10-6 Last block + temporal consistency,VitalDB,7.967193481893632,7.904575331751672,-0.06261815014195982
T10-7 Last block + adaptive fusion,Overall,8.532174012938965,8.562621624506727,0.030447611567762323
T10-7 Last block + adaptive fusion,MIMIC,9.212133038021596,9.243213157224089,0.03108011920249254
T10-7 Last block + adaptive fusion,VitalDB,7.967193481893632,7.997115540470437,0.029922058576805632
T10-8 Last block + direction + temporal,Overall,8.532174012938965,8.445685444929124,-0.08648856800984106
T10-8 Last block + direction + temporal,MIMIC,9.212133038021596,9.139675921760226,-0.0724571162613703
T10-8 Last block + direction + temporal,VitalDB,7.967193481893632,7.8690461274455545,-0.0981473544480771
