split_mode,Scope,Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
chronological_blocked,MIMIC,lora,DBP,2.585931048643224,0.8845463214585454,-0.1184330384172388,4.3906169287872565,87.22057368941641,96.46636993076162,98.62512363996044,PASS*,PASS (Grade A)*
chronological_blocked,MIMIC,lora,SBP,4.781098519352612,0.899123635402007,-0.0028313235878119,7.197563777998294,67.59396636993075,88.40999010880316,95.06923837784372,PASS*,PASS (Grade A)*
chronological_blocked,MIMIC,lora_all_six,DBP,2.493181879324682,0.896490777135583,-0.2453097000084338,4.151569113902902,87.60880316518299,96.61473788328388,98.79080118694364,PASS*,PASS (Grade A)*
chronological_blocked,MIMIC,lora_all_six,SBP,4.652970931131455,0.902592372311676,-0.3175757075157882,7.065600468353137,68.93175074183976,88.81552917903066,95.07418397626112,PASS*,PASS (Grade A)*
chronological_blocked,MIMIC,lora_attention,DBP,2.537606699789785,0.8921228698849528,-0.3502275694725421,4.231180731795569,87.17359050445104,96.55539070227498,98.69930761622156,PASS*,PASS (Grade A)*
chronological_blocked,MIMIC,lora_attention,SBP,4.726309136372763,0.9012732818671724,0.0733564893758379,7.120084463132748,68.13303659742829,88.38526211671612,95.10633036597427,PASS*,PASS (Grade A)*
chronological_blocked,MIMIC,lora_attention_calibration_relative,DBP,2.5142885384526616,0.8907096066170246,-0.1132023357613975,4.271871322884465,87.40108803165182,96.46636993076162,98.70919881305636,PASS*,PASS (Grade A)*
chronological_blocked,MIMIC,lora_attention_calibration_relative,SBP,4.694199921563636,0.9004002771020313,0.0156430593466074,7.151857791964551,68.89465875370921,88.70178041543026,94.9455984174085,PASS*,PASS (Grade B)*
chronological_blocked,MIMIC,lora_calibration_relative,DBP,2.5084106656139613,0.8875876107944586,-0.1269156264032501,4.332119169713869,87.66815034619188,96.6790306627102,98.70178041543026,PASS*,PASS (Grade A)*
chronological_blocked,MIMIC,lora_calibration_relative,SBP,4.666362873100032,0.903417628542086,0.0770571218164219,7.042287947707486,68.71414441147378,88.92927794263106,95.30415430267064,PASS*,PASS (Grade A)*
chronological_blocked,MIMIC,lora_film,DBP,2.488459376647376,0.8916158253489052,-0.1597817922794029,4.252616335201483,87.9055390702275,96.6369930761622,98.62017804154304,PASS*,PASS (Grade A)*
chronological_blocked,MIMIC,lora_film,SBP,4.646662828122826,0.9017793125396608,-0.2547500666949445,7.097620266120331,68.59050445103858,89.04549950544016,95.45004945598416,PASS*,PASS (Grade A)*
chronological_blocked,MIMIC,lora_film_attention,DBP,2.4743106225595746,0.8972971859983113,-0.1061715679281897,4.141217960070659,87.83382789317507,96.70870425321463,98.73145400593472,PASS*,PASS (Grade A)*
chronological_blocked,MIMIC,lora_film_attention,SBP,4.65460422885642,0.9022442331056464,-0.2690698433111023,7.080250905895934,68.9540059347181,88.67952522255193,95.29920870425322,PASS*,PASS (Grade A)*
chronological_blocked,MIMIC,lora_film_attention_calibration_relative,DBP,2.5377548554530835,0.8910578091201581,0.0977684092686744,4.265437663186273,87.43570722057369,96.73095944609298,98.79574678536105,PASS*,PASS (Grade A)*
chronological_blocked,MIMIC,lora_film_attention_calibration_relative,SBP,4.682731089700459,0.9041179371447032,0.3049138071039428,7.010502131741824,68.38031651829871,88.90949554896143,95.25717111770524,PASS*,PASS (Grade A)*
chronological_blocked,MIMIC,lora_film_calibration_relative,DBP,2.5015820526817314,0.8913094400861614,-0.1772855602079517,4.2579385322721865,87.74480712166172,96.69634025717112,98.60781404549952,PASS*,PASS (Grade A)*
chronological_blocked,MIMIC,lora_film_calibration_relative,SBP,4.649713084016191,0.9028248253895692,-0.0843269195330249,7.063786492126012,69.00346191889219,88.86003956478734,95.13600395647872,PASS*,PASS (Grade A)*
chronological_blocked,MIMIC,lora_film_multi_event,DBP,2.50322902653031,0.8920230143017558,-0.1357774896744333,4.245444852031289,87.52967359050446,96.55786350148368,98.74381800197824,PASS*,PASS (Grade A)*
chronological_blocked,MIMIC,lora_film_multi_event,SBP,4.665799827745477,0.901071954162826,-0.0567388346829588,7.127492987614978,69.21612265084075,88.81552917903066,95.0618199802176,PASS*,PASS (Grade A)*
chronological_blocked,MIMIC,lora_film_multi_event_reliability,DBP,2.510900504416929,0.8908020096240343,-0.1047842089901102,4.270278650576941,87.5024727992087,96.77299703264094,98.61523244312562,PASS*,PASS (Grade A)*
chronological_blocked,MIMIC,lora_film_multi_event_reliability,SBP,4.664752029452904,0.903072564434871,-0.0553719056466213,7.05506191378114,68.93175074183976,88.70919881305637,95.0593471810089,PASS*,PASS (Grade A)*
chronological_blocked,MIMIC,lora_film_reliability,DBP,2.509390033623821,0.8925786334873954,-0.0932319859958426,4.235646972566313,87.88822947576656,96.65924826904056,98.62759643916914,PASS*,PASS (Grade A)*
chronological_blocked,MIMIC,lora_film_reliability,SBP,4.670104837559097,0.9031413240815808,0.004150908401293,7.052775061562117,68.45697329376854,88.90702274975271,95.19287833827892,PASS*,PASS (Grade A)*
chronological_blocked,MIMIC,lora_multi_event,DBP,2.499706304297367,0.8920428770620109,-0.0458561377992262,4.246977301727345,87.6730959446093,96.63946587537092,98.73887240356083,PASS*,PASS (Grade A)*
chronological_blocked,MIMIC,lora_multi_event,SBP,4.651759063879177,0.9014930358694084,0.125464892175148,7.111426568916017,69.44362017804154,89.013353115727,95.0593471810089,PASS*,PASS (Grade A)*
chronological_blocked,MIMIC,lora_multi_event_reliability,DBP,2.532095340121276,0.8926410637926634,-0.2347348093396949,4.228931804990296,87.27744807121661,96.66172106824926,98.72156280909992,PASS*,PASS (Grade A)*
chronological_blocked,MIMIC,lora_multi_event_reliability,SBP,4.663567171653348,0.9033663351905612,-0.0344983457457771,7.044494939828481,68.80811078140455,88.85509396636994,95.32640949554896,PASS*,PASS (Grade A)*
chronological_blocked,MIMIC,lora_reliability,DBP,2.536890084382688,0.8916027582480884,-0.172741390524467,4.252366358494863,87.3862512363996,96.5751730959446,98.70672601384769,PASS*,PASS (Grade A)*
chronological_blocked,MIMIC,lora_reliability,SBP,4.734477359345358,0.9016312706722148,0.2040739632973449,7.104610626139042,67.83382789317507,88.4297725024728,95.17804154302672,PASS*,PASS (Grade A)*
chronological_blocked,Overall,lora,DBP,2.7790907752391827,0.8693034754645835,-0.1062769431826081,4.495540097247568,84.8817649926865,96.39931740614335,98.82252559726965,PASS*,PASS (Grade A)*
chronological_blocked,Overall,lora,SBP,4.966402849972044,0.8739382480790501,-0.0160468385604345,7.298184953334146,65.08776206728425,87.51584592881521,95.01097025841054,PASS*,PASS (Grade A)*
chronological_blocked,Overall,lora_all_six,DBP,2.6917402523195144,0.8776206641927169,-0.1137663689664025,4.349874646017093,85.69722086786933,96.59434422233058,98.85177961969772,PASS*,PASS (Grade A)*
chronological_blocked,Overall,lora_all_six,SBP,4.903936952221748,0.8758638986447118,-0.160892189961419,7.240458986917934,65.94709897610922,87.62189176011702,94.81838127742564,PASS*,PASS (Grade B)*
chronological_blocked,Overall,lora_attention,DBP,2.716415287493962,0.8756325680920094,-0.324982338751426,4.374509447046949,85.52413456850317,96.48586055582643,98.84080936128716,PASS*,PASS (Grade A)*
chronological_blocked,Overall,lora_attention,SBP,4.885475401318056,0.8774388665990565,0.056587830966185,7.195934505094651,66.02998537298879,87.71818625060945,95.01097025841054,PASS*,PASS (Grade A)*
chronological_blocked,Overall,lora_attention_calibration_relative,DBP,2.7094585572144627,0.8738373310146424,-0.0887001443525339,4.417220433872005,85.31569965870307,96.48220380302293,98.82496343247198,PASS*,PASS (Grade A)*
chronological_blocked,Overall,lora_attention_calibration_relative,SBP,4.9069897506133575,0.8749735155668714,0.0048932091774794,7.268171346710227,66.06899073622623,87.65236470014626,94.8732325694783,PASS*,PASS (Grade B)*
chronological_blocked,Overall,lora_calibration_relative,DBP,2.7055480421374103,0.8723671456871616,-0.0471389856529142,4.443528664461603,85.60092637737688,96.5480253534861,98.8846903949293,PASS*,PASS (Grade A)*
chronological_blocked,Overall,lora_calibration_relative,SBP,4.905494675620017,0.8765819187176879,0.1613814993290596,7.219467428690032,65.7764505119454,87.78888347147733,95.02559726962455,PASS*,PASS (Grade A)*
chronological_blocked,Overall,lora_film,DBP,2.6922314228865067,0.8750278529755492,-0.1183206042797027,4.395623779980402,85.63505607020966,96.59921989273523,98.83349585568016,PASS*,PASS (Grade A)*
chronological_blocked,Overall,lora_film,SBP,4.889127131684822,0.8755327362117288,-0.2230035043471851,7.248470523418498,65.84592881521209,87.83154558751828,95.06704046806436,PASS*,PASS (Grade A)*
chronological_blocked,Overall,lora_film_attention,DBP,2.673737136565552,0.8786634590112028,-0.0688222467579648,4.332236850341273,85.82886396879572,96.60775231594344,98.89566065333985,PASS*,PASS (Grade A)*
chronological_blocked,Overall,lora_film_attention,SBP,4.892464317059528,0.875910304909894,-0.2195381484922114,7.237563660318592,65.91296928327644,87.70599707459775,94.99878108239884,PASS*,PASS (Grade B)*
chronological_blocked,Overall,lora_film_attention_calibration_relative,DBP,2.7027585948402857,0.8766608815484038,0.110315789251081,4.366998835584251,85.62286689419795,96.70282788883472,98.92369575816676,PASS*,PASS (Grade A)*
chronological_blocked,Overall,lora_film_attention_calibration_relative,SBP,4.884871661308508,0.8793052403600852,0.2976700420556331,7.1349481169429,65.84470989761093,87.77913213066797,95.07191613846904,PASS*,PASS (Grade A)*
chronological_blocked,Overall,lora_film_calibration_relative,DBP,2.698365443511918,0.8750237621349367,-0.1416871174552393,4.395004641193435,85.65699658703072,96.60409556313994,98.8152120916626,PASS*,PASS (Grade A)*
chronological_blocked,Overall,lora_film_calibration_relative,SBP,4.885450970190784,0.8770226651095437,-0.0757766612502553,7.207966939328612,66.27133105802048,87.68283764017552,94.84397854705024,PASS*,PASS (Grade B)*
chronological_blocked,Overall,lora_film_multi_event,DBP,2.699075283160272,0.8757220579995848,-0.127706981530601,4.383125903990005,85.4497805948318,96.58581179912238,98.8688444661141,PASS*,PASS (Grade A)*
chronological_blocked,Overall,lora_film_multi_event,SBP,4.8810429838097775,0.8770968677769297,-0.0530272397339373,7.205995104721488,66.20063383715261,87.71818625060945,94.98049731838128,PASS*,PASS (Grade B)*
chronological_blocked,Overall,lora_film_multi_event_reliability,DBP,2.7085913991300377,0.8743184387816983,-0.0600741180194871,4.409269660286297,85.4412481716236,96.62116040955632,98.832276938079,PASS*,PASS (Grade A)*
chronological_blocked,Overall,lora_film_multi_event_reliability,SBP,4.908315078785569,0.8766522680023081,-0.0698334959877345,7.218874802891295,65.84714773281326,87.53047294002926,94.85616772306192,PASS*,PASS (Grade B)*
chronological_blocked,Overall,lora_film_reliability,DBP,2.692074006153629,0.8765440253833595,0.0289853075549173,4.370364768397524,85.80692345197465,96.62847391516334,98.82862018527548,PASS*,PASS (Grade A)*
chronological_blocked,Overall,lora_film_reliability,SBP,4.885631917407604,0.8774707835666541,0.1055155659233402,7.194446216203528,65.83130180399806,87.78888347147733,95.03412969283276,PASS*,PASS (Grade A)*
chronological_blocked,Overall,lora_multi_event,DBP,2.700641425094158,0.874993688155343,-0.0924270030755871,4.39684562241031,85.50828863968796,96.57118478790834,98.87981472452462,PASS*,PASS (Grade A)*
chronological_blocked,Overall,lora_multi_event,SBP,4.889994130490292,0.8756236946796588,0.0554842034762571,7.24903756948181,66.27011214041931,87.72915650901999,95.0365675280351,PASS*,PASS (Grade A)*
chronological_blocked,Overall,lora_multi_event_reliability,DBP,2.720909711478804,0.8756886580186403,-0.1582637086837597,4.382718545800827,85.43881033642126,96.5358361774744,98.83715260848366,PASS*,PASS (Grade A)*
chronological_blocked,Overall,lora_multi_event_reliability,SBP,4.894970830436569,0.8773655678202225,-0.0051515072395254,7.1983067017168025,66.05070697220869,87.79619697708435,95.00121891760116,PASS*,PASS (Grade A)*
