candidate,runner,backbone,split_mode,seed,Scope,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,sbp_bias,dbp_bias,worst_30_mean_mae,retained_70_mean_mae
lora_film_attention,combination_residual,resnet_small,chronological_blocked,20260902,MIMIC,1011,40440,4.654604434967041,2.4743106365203857,3.564457416534424,-0.2690698504447937,-0.106171578168869,6.832472801208496,2.159256935119629
lora_film,combination_residual,resnet_small,chronological_blocked,20260902,MIMIC,1011,40440,4.646663188934326,2.4884591102600098,3.567560911178589,-0.2547500729560852,-0.1597817838191986,6.793791770935059,2.1803274154663086
lora_all_six,combination_residual,resnet_small,chronological_blocked,20260902,MIMIC,1011,40440,4.652970790863037,2.4931819438934326,3.5730762481689453,-0.3175756931304931,-0.2453097105026245,6.85358476638794,2.162503957748413
lora_film_calibration_relative,combination_residual,resnet_small,chronological_blocked,20260902,MIMIC,1011,40440,4.649713039398193,2.501581907272339,3.575647592544556,-0.0843269154429435,-0.1772855669260025,6.8333234786987305,2.1748926639556885
lora_multi_event,combination_residual,resnet_small,chronological_blocked,20260902,MIMIC,1011,40440,4.651759147644043,2.499706268310547,3.575732707977295,0.1254648715257644,-0.0458561442792415,6.876502513885498,2.1564481258392334
lora_film_multi_event,combination_residual,resnet_small,chronological_blocked,20260902,MIMIC,1011,40440,4.665799617767334,2.503229141235352,3.584514141082764,-0.0567388124763965,-0.1357774883508682,6.920204639434815,2.150214910507202
lora_calibration_relative,combination_residual,resnet_small,chronological_blocked,20260902,MIMIC,1011,40440,4.666362762451172,2.508410692214966,3.5873868465423584,0.0770571082830429,-0.1269156336784362,6.871240139007568,2.175376415252685
lora_film_multi_event_reliability,combination_residual,resnet_small,chronological_blocked,20260902,MIMIC,1011,40440,4.664752006530762,2.5109002590179443,3.5878262519836426,-0.0553719028830528,-0.1047842055559158,6.857866764068604,2.1817548274993896
lora_film_reliability,combination_residual,resnet_small,chronological_blocked,20260902,MIMIC,1011,40440,4.67010498046875,2.509390115737915,3.589747428894043,0.0041509037837386,-0.0932319685816764,6.838766098022461,2.1927149295806885
lora_multi_event_reliability,combination_residual,resnet_small,chronological_blocked,20260902,MIMIC,1011,40440,4.663567066192627,2.532095193862915,3.597831010818481,-0.0344983413815498,-0.2347348183393478,6.861980438232422,2.194293260574341
lora_attention_calibration_relative,combination_residual,resnet_small,chronological_blocked,20260902,MIMIC,1011,40440,4.694200038909912,2.514288663864136,3.6042442321777344,0.0156430657953023,-0.1132023483514785,6.927552700042725,2.175268650054932
lora_film_attention_calibration_relative,combination_residual,resnet_small,chronological_blocked,20260902,MIMIC,1011,40440,4.6827311515808105,2.537755012512207,3.6102428436279297,0.3049138188362121,0.097768411040306,6.863653659820557,2.211322069168091
lora_attention,combination_residual,resnet_small,chronological_blocked,20260902,MIMIC,1011,40440,4.726309299468994,2.537606716156006,3.631958246231079,0.0733565017580986,-0.3502275347709656,6.977289199829102,2.1935126781463623
lora_reliability,combination_residual,resnet_small,chronological_blocked,20260902,MIMIC,1011,40440,4.734477519989014,2.5368900299072266,3.63568377494812,0.2040739357471466,-0.1727413833141327,6.964175701141357,2.204479217529297
lora,combination_residual,resnet_small,chronological_blocked,20260902,MIMIC,1011,40440,4.781098365783691,2.5859310626983643,3.683515071868897,-0.0028313091024756,-0.1184330433607101,7.033749103546143,2.2429616451263428
lora_film_attention,combination_residual,resnet_small,chronological_blocked,20260902,Overall,2051,82040,4.8924641609191895,2.6737372875213623,3.783100843429565,-0.2195381373167038,-0.0688222423195838,6.993476390838623,2.4049885272979736
lora_film_reliability,combination_residual,resnet_small,chronological_blocked,20260902,Overall,2051,82040,4.885631561279297,2.6920738220214844,3.7888529300689697,0.1055155619978904,0.0289853047579526,6.983471393585205,2.4175045490264893
lora_film_multi_event,combination_residual,resnet_small,chronological_blocked,20260902,Overall,2051,82040,4.881042957305908,2.699075222015381,3.790059328079224,-0.0530272275209426,-0.1277069747447967,7.026993274688721,2.400545835494995
