Setting,Scope,scoring_only_group,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,delta_mean_mae_vs_frozen_lora,delta_sbp_mae_vs_frozen_lora,delta_dbp_mae_vs_frozen_lora,split_mode
E3_trained_reliability,VitalDB,DBP_train_median_deviation_10-20,971,6178,3.817299343799978,2.3744873972228158,3.095893370511397,-0.3289788684356161,-0.4155679124318991,-0.242389824439333,random_disjoint
E3_trained_reliability,Overall,DBP_train_median_deviation_>20,721,1873,7.962542489057585,7.503136556001625,7.732839522529605,-0.6500615897286144,-0.6707049523949795,-0.6294182270622493,random_disjoint
E3_trained_reliability,MIMIC,DBP_train_median_deviation_>20,319,929,9.807576862941836,10.873988463973056,10.340782663457446,-0.8243576813953144,-0.7102854747153362,-0.9384298880752944,random_disjoint
E3_trained_reliability,VitalDB,DBP_train_median_deviation_>20,402,944,6.498448048089736,4.828256559377529,5.663352303733632,-0.5117520045503134,-0.6392965279666374,-0.3842074811339877,random_disjoint
D0_frozen_lora,Overall,SBP_train_median_deviation_0-10,2051,50195,3.275825360513807,1.9040882721345775,2.589956816324192,0.0,0.0,0.0,random_disjoint
D0_frozen_lora,MIMIC,SBP_train_median_deviation_0-10,1011,25757,3.5161541406557903,2.0542609930432074,2.7852075668494987,0.0,0.0,0.0,random_disjoint
D0_frozen_lora,VitalDB,SBP_train_median_deviation_0-10,1040,24438,3.042198055971936,1.7581030597897465,2.400150557880841,0.0,0.0,0.0,random_disjoint
D0_frozen_lora,Overall,SBP_train_median_deviation_10-20,2029,20839,4.1576954259594565,2.2473130579934666,3.2025042419764613,0.0,0.0,0.0,random_disjoint
D0_frozen_lora,MIMIC,SBP_train_median_deviation_10-20,991,9707,4.732670097450175,2.500113905248201,3.616392001349188,0.0,0.0,0.0,random_disjoint
D0_frozen_lora,VitalDB,SBP_train_median_deviation_10-20,1038,11132,3.608755253081516,2.0059588772329264,2.807357065157221,0.0,0.0,0.0,random_disjoint
