Scope,Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS,split_mode
Overall,E1_matched_relation,DBP,1.9030787962346705,0.930238344576472,-0.1027898658141457,3.386354718406168,92.59751340809362,98.27888834714771,99.36738176499269,PASS*,PASS (Grade A)*,random_disjoint
MIMIC,E1_matched_relation,SBP,3.770226009144392,0.9325387715337063,-0.089403351643201,5.910676902355563,76.30563798219585,92.46785361028684,97.08209693372898,PASS*,PASS (Grade A)*,random_disjoint
MIMIC,E1_matched_relation,DBP,2.0847025508814583,0.9156906417317416,-0.1385148653290746,3.858170398674483,91.21414441147378,97.66073194856575,99.03808110781404,PASS*,PASS (Grade A)*,random_disjoint
VitalDB,E1_matched_relation,SBP,3.024254251443423,0.9372438778721932,-0.0909887607281024,4.744776253775955,82.64903846153845,95.49278846153844,98.5,PASS*,PASS (Grade A)*,random_disjoint
VitalDB,E1_matched_relation,DBP,1.7265195501309174,0.945725685795038,-0.0680610441703062,2.8534997307448497,93.9423076923077,98.8798076923077,99.6875,PASS*,PASS (Grade A)*,random_disjoint
Overall,E2_bp_state_metric,SBP,3.4765312816735188,0.9340081796405064,-0.0629733296035848,5.4364002557128,78.60190151145783,93.7335446123842,97.74622135543638,PASS*,PASS (Grade A)*,random_disjoint
Overall,E2_bp_state_metric,DBP,1.94857055148167,0.9285087120319286,-0.0973648141849802,3.4282739888683267,92.22696245733788,98.24963432471964,99.3832276938079,PASS*,PASS (Grade A)*,random_disjoint
MIMIC,E2_bp_state_metric,SBP,3.845249922409963,0.9308321514855804,-0.0517975857656386,5.985433981036702,75.42779426310584,92.23293768545992,97.05242334322452,PASS*,PASS (Grade A)*,random_disjoint
MIMIC,E2_bp_state_metric,DBP,2.1272649333219973,0.9141188251439806,-0.1293849751456437,3.894329087800137,90.79376854599408,97.63353115727004,99.06280909990107,PASS*,PASS (Grade A)*,random_disjoint
VitalDB,E2_bp_state_metric,SBP,3.118094218419148,0.934615934046654,-0.0738374421229729,4.843430024481145,81.6875,95.1923076923077,98.42067307692308,PASS*,PASS (Grade A)*,random_disjoint
VitalDB,E2_bp_state_metric,DBP,1.774858993750352,0.9437864192703472,-0.0662375230972583,2.9041019351512105,93.6201923076923,98.8485576923077,99.69471153846152,PASS*,PASS (Grade A)*,random_disjoint
Overall,lora_continued_control,SBP,3.68529361690445,0.930408065191467,0.0244920820331991,5.583040547955501,76.25304729400293,93.50195026816188,97.72793759141882,PASS*,PASS (Grade A)*,random_disjoint
Overall,lora_continued_control,DBP,2.067514288942736,0.9256679630921252,-0.1019346944882426,3.495646348639914,91.85884934178448,98.3008288639688,99.41004388103364,PASS*,PASS (Grade A)*,random_disjoint
MIMIC,lora_continued_control,SBP,4.03793208766526,0.9271783788428778,0.0861921304765016,6.141114187009805,73.32344213649851,91.88921859545005,96.96092977250248,PASS*,PASS (Grade A)*,random_disjoint
MIMIC,lora_continued_control,DBP,2.243410586886307,0.9103197410855938,-0.1640020924670995,3.978349564730848,90.3981206726014,97.66073194856575,99.05291790306627,PASS*,PASS (Grade A)*,random_disjoint
VitalDB,lora_continued_control,SBP,3.342488334270624,0.9308811496876428,-0.0354874842900496,4.980291427218912,79.10096153846153,95.06971153846156,98.4735576923077,PASS*,PASS (Grade A)*,random_disjoint
VitalDB,lora_continued_control,DBP,1.8965227916148992,0.9419952816449644,-0.04159802202995,2.950479960870032,93.27884615384616,98.92307692307692,99.75721153846156,PASS*,PASS (Grade A)*,random_disjoint
Overall,D0_frozen_lora,SBP,4.7773015516086765,0.8804092361891207,0.2060147501212222,7.105433762545848,67.206240858118,88.13383715260848,95.17308629936616,PASS*,PASS (Grade A)*,chronological_blocked
Overall,D0_frozen_lora,DBP,2.6474661373266763,0.8762196704914974,0.0648715313093537,4.375717509192298,85.86055582642614,96.76133593369087,98.89566065333985,PASS*,PASS (Grade A)*,chronological_blocked
MIMIC,D0_frozen_lora,SBP,4.511091241921445,0.907682839001331,0.1629088781943543,6.883518285613106,70.42284866468843,89.36449060336301,95.50197823936696,PASS*,PASS (Grade A)*,chronological_blocked
MIMIC,D0_frozen_lora,DBP,2.443512012460937,0.8925116507983595,0.0169001507122368,4.237959938823157,87.97725024727993,96.92383778437193,98.80563798219583,PASS*,PASS (Grade A)*,chronological_blocked
VitalDB,D0_frozen_lora,SBP,5.036088689198861,0.8305056595801346,0.2479186313885908,7.314549825845479,64.07932692307692,86.9375,94.8533653846154,PASS*,PASS (Grade B)*,chronological_blocked
VitalDB,D0_frozen_lora,DBP,2.8457330798644285,0.8529923861881207,0.1115052484090511,4.505159566245059,83.80288461538463,96.6033653846154,98.98317307692308,PASS*,PASS (Grade A)*,chronological_blocked
Overall,fixed_blend,SBP,4.897695487816121,0.8730028242715301,0.2787319337723024,7.319925209298447,66.41882008776207,87.5121891760117,94.7793759141882,PASS*,PASS (Grade B)*,chronological_blocked
Overall,fixed_blend,DBP,2.6956451902152385,0.8696477018081149,0.0724732548012958,4.490285632562294,85.48512920526572,96.36884446611408,98.80180399804972,PASS*,PASS (Grade A)*,chronological_blocked
MIMIC,fixed_blend,SBP,4.543567046119245,0.9039034217608102,0.1492254846763422,7.0233902215845445,70.27200791295746,89.19139465875371,95.46241345202768,PASS*,PASS (Grade A)*,chronological_blocked
MIMIC,fixed_blend,DBP,2.455852178249114,0.887439878235457,0.0018137523847329,4.336824451619084,87.92532146389713,96.59742828882295,98.74134520276954,PASS*,PASS (Grade A)*,chronological_blocked
VitalDB,fixed_blend,SBP,5.241949194119527,0.8169473038537848,0.4046271453453944,7.595072680122989,62.67307692307692,85.8798076923077,94.1153846153846,PASS*,PASS (Grade B)*,chronological_blocked
VitalDB,fixed_blend,DBP,2.9287516662707698,0.8444403383466302,0.1411624441697047,4.633618735031078,83.11298076923077,96.1466346153846,98.86057692307692,PASS*,PASS (Grade A)*,chronological_blocked
Overall,trained_blend,SBP,4.700024707976461,0.8804912805493703,0.1896320977715502,7.103450238945172,68.05704534373477,88.30082886396879,95.12067284251584,PASS*,PASS (Grade A)*,chronological_blocked
Overall,trained_blend,DBP,2.61425210056742,0.8757054055700654,0.0590944432677553,4.384881550290979,85.91784495368114,96.58215504631887,98.896879570941,PASS*,PASS (Grade A)*,chronological_blocked
MIMIC,trained_blend,SBP,4.428385461473323,0.9074806944992064,0.1290634556175103,6.891771703924537,71.09297725024729,89.53016815034619,95.56627101879327,PASS*,PASS (Grade A)*,chronological_blocked
MIMIC,trained_blend,DBP,2.4207064922438413,0.8910769687486627,0.0231079467090489,4.266120242975973,87.89564787339268,96.70870425321463,98.80563798219583,PASS*,PASS (Grade A)*,chronological_blocked
VitalDB,trained_blend,SBP,4.964089398567493,0.8310413212682333,0.2485118066347562,7.30294894420653,65.10576923076923,87.10576923076923,94.6875,PASS*,PASS (Grade B)*,chronological_blocked
VitalDB,trained_blend,DBP,2.8024007640435147,0.8535434247556386,0.0940774702108823,4.497101338121503,83.9951923076923,96.4591346153846,98.98557692307692,PASS*,PASS (Grade A)*,chronological_blocked
Overall,E3_zero_reliability,SBP,4.846353993029713,0.8757352022116669,0.2708058026056025,7.240937319078354,66.79546562652364,87.72549975621648,94.93661628473916,PASS*,PASS (Grade B)*,chronological_blocked
Overall,E3_zero_reliability,DBP,2.6646808263226283,0.8730273796080039,0.0577569029632191,4.43189381384183,85.69722086786933,96.49195514383229,98.87006338371526,PASS*,PASS (Grade A)*,chronological_blocked
MIMIC,E3_zero_reliability,SBP,4.504902748422,0.9057592229634156,0.1565008348836679,6.955051507312256,70.57368941641938,89.28536102868448,95.5786350148368,PASS*,PASS (Grade A)*,chronological_blocked
MIMIC,E3_zero_reliability,DBP,2.4285115478440904,0.8908135304155774,-0.0173486909894686,4.271303516632907,88.03412462908013,96.69881305637982,98.81800197823937,PASS*,PASS (Grade A)*,chronological_blocked
VitalDB,E3_zero_reliability,SBP,5.178284001008944,0.8212202248931362,0.3819234202660601,7.506839940385229,63.12259615384615,86.20913461538461,94.3125,PASS*,PASS (Grade B)*,chronological_blocked
VitalDB,E3_zero_reliability,DBP,2.8942646153051297,0.8479382635681704,0.1307682063153031,4.581486186782613,83.42548076923076,96.2908653846154,98.92067307692308,PASS*,PASS (Grade A)*,chronological_blocked
Overall,E3_trained_reliability,SBP,4.687383563577389,0.8813805975453572,0.1963014484198045,7.076770171933881,68.15212091662603,88.34714773281326,95.16699171136032,PASS*,PASS (Grade A)*,chronological_blocked
Overall,E3_trained_reliability,DBP,2.6021177207248742,0.8773221988625645,0.0487707596016227,4.3563920724901095,86.02389078498294,96.64431984397854,98.9297903461726,PASS*,PASS (Grade A)*,chronological_blocked
MIMIC,E3_trained_reliability,SBP,4.412134849998559,0.908484443251324,0.143822380942682,6.853978092064359,71.24381800197824,89.61918892185955,95.6404549950544,PASS*,PASS (Grade A)*,chronological_blocked
MIMIC,E3_trained_reliability,DBP,2.402018443970749,0.8933674483592745,0.0037584437072418,4.221087282203436,88.01434223541048,96.77299703264094,98.86498516320476,PASS*,PASS (Grade A)*,chronological_blocked
VitalDB,E3_trained_reliability,SBP,4.954957072642963,0.8318005753990101,0.2473171572845841,7.286543343374178,65.14663461538461,87.11057692307692,94.70673076923076,PASS*,PASS (Grade B)*,chronological_blocked
VitalDB,E3_trained_reliability,DBP,2.796637306107971,0.8544212822615632,0.0925279243797179,4.483629647737391,84.0889423076923,96.51923076923076,98.99278846153848,PASS*,PASS (Grade A)*,chronological_blocked
Overall,E1_matched_relation,SBP,4.673410626052938,0.8812176837763595,0.1920530965071315,7.081748405048509,68.43978547050219,88.4154071184788,95.16211604095564,PASS*,PASS (Grade A)*,chronological_blocked
Overall,E1_matched_relation,DBP,2.593441808148165,0.876195977364333,0.0528052425105533,4.376298598768567,86.10433934666017,96.55290102389078,98.8846903949293,PASS*,PASS (Grade A)*,chronological_blocked
MIMIC,E1_matched_relation,SBP,4.399313633519747,0.9080698810478808,0.1160242871172232,6.870017249938224,71.54055390702275,89.74282888229476,95.61078140454995,PASS*,PASS (Grade A)*,chronological_blocked
MIMIC,E1_matched_relation,DBP,2.399910892907283,0.8914578885183564,0.0119534999515371,4.258699785354346,88.0811078140455,96.70623145400592,98.79821958456974,PASS*,PASS (Grade A)*,chronological_blocked
VitalDB,E1_matched_relation,SBP,4.9398645293712615,0.832025907014262,0.2659618717890519,7.28099812926368,65.42548076923077,87.125,94.72596153846152,PASS*,PASS (Grade B)*,chronological_blocked
VitalDB,E1_matched_relation,DBP,2.7815761882525223,0.854179060066552,0.09251784994052,4.487359952147187,84.1826923076923,96.40384615384616,98.96875,PASS*,PASS (Grade A)*,chronological_blocked
Overall,E2_bp_state_metric,SBP,4.8795633535975655,0.8732896601820996,0.2503685983781522,7.312668326878092,66.59312530472941,87.57069722086787,94.80741101901512,PASS*,PASS (Grade B)*,chronological_blocked
