candidate,view,split_mode,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,reference_mean_mae,gain_vs_reference_mmhg,fixed_blend_mean_mae,gain_vs_fixed_blend_mmhg,v1_trained_blend_mean_mae,gain_vs_v1_trained_blend_mmhg,reference_candidate
D0_frozen_lora,Overall,random_disjoint,2051,82040,3.6913129355720287,2.0688831023505,2.880098018961264,2.876403570175171,-0.003694448786093,2.6475226879119877,-0.2325753310492766,2.6475226879119877,-0.2325753310492766,lora_continued_control
D0_frozen_lora,MIMIC,random_disjoint,1011,40440,4.043434272251073,2.245703064133694,3.1445686681923832,3.1406712532043457,-0.0038974149880375,2.927464485168457,-0.2171041830239262,2.927464485168457,-0.2171041830239262,lora_continued_control
D0_frozen_lora,VitalDB,random_disjoint,1040,41600,3.3490103669349964,1.896993697193953,2.6230020320644747,2.6195056438446045,-0.0034963882198701,2.375386953353882,-0.2476150787105928,2.375386953353882,-0.2476150787105928,lora_continued_control
fixed_blend,Overall,random_disjoint,2051,82040,3.3919665813446045,1.90307879447937,2.6475226879119877,2.876403570175171,0.2288808822631836,2.6475226879119877,0.0,2.6475226879119877,0.0,lora_continued_control
fixed_blend,MIMIC,random_disjoint,1011,40440,3.770226001739502,2.084702491760254,2.927464485168457,3.1406712532043457,0.2132067680358886,2.927464485168457,0.0,2.927464485168457,0.0,lora_continued_control
fixed_blend,VitalDB,random_disjoint,1040,41600,3.024254083633423,1.7265195846557615,2.375386953353882,2.6195056438446045,0.2441186904907226,2.375386953353882,0.0,2.375386953353882,0.0,lora_continued_control
trained_blend,Overall,random_disjoint,2051,82040,3.3919665813446045,1.90307879447937,2.6475226879119877,2.876403570175171,0.2288808822631836,2.6475226879119877,0.0,2.6475226879119877,0.0,lora_continued_control
trained_blend,MIMIC,random_disjoint,1011,40440,3.770226001739502,2.084702491760254,2.927464485168457,3.1406712532043457,0.2132067680358886,2.927464485168457,0.0,2.927464485168457,0.0,lora_continued_control
trained_blend,VitalDB,random_disjoint,1040,41600,3.024254083633423,1.7265195846557615,2.375386953353882,2.6195056438446045,0.2441186904907226,2.375386953353882,0.0,2.375386953353882,0.0,lora_continued_control
E3_zero_reliability,Overall,random_disjoint,2051,82040,3.3843735343692023,1.891913380131954,2.6381434572505778,2.876403570175171,0.2382601129245931,2.6475226879119877,0.0093792306614095,2.6475226879119877,0.0093792306614095,lora_continued_control
E3_zero_reliability,MIMIC,random_disjoint,1011,40440,3.760804247903016,2.072009038543822,2.916406643223419,3.1406712532043457,0.2242646099809269,2.927464485168457,0.0110578419450382,2.927464485168457,0.0110578419450382,lora_continued_control
E3_zero_reliability,VitalDB,random_disjoint,1040,41600,3.0184394465012354,1.7168396198873404,2.3676395331942883,2.6195056438446045,0.2518661106503161,2.375386953353882,0.0077474201595935,2.375386953353882,0.0077474201595935,lora_continued_control
E3_trained_reliability,Overall,random_disjoint,2051,82040,3.3843735343692023,1.891913380131954,2.6381434572505778,2.876403570175171,0.2382601129245931,2.6475226879119877,0.0093792306614095,2.6475226879119877,0.0093792306614095,lora_continued_control
E3_trained_reliability,MIMIC,random_disjoint,1011,40440,3.760804247903016,2.072009038543822,2.916406643223419,3.1406712532043457,0.2242646099809269,2.927464485168457,0.0110578419450382,2.927464485168457,0.0110578419450382,lora_continued_control
E3_trained_reliability,VitalDB,random_disjoint,1040,41600,3.0184394465012354,1.7168396198873404,2.3676395331942883,2.6195056438446045,0.2518661106503161,2.375386953353882,0.0077474201595935,2.375386953353882,0.0077474201595935,lora_continued_control
E1_matched_relation,Overall,random_disjoint,2051,82040,3.3919665813446045,1.90307879447937,2.6475226879119877,2.876403570175171,0.2288808822631836,2.6475226879119877,0.0,2.6475226879119877,0.0,lora_continued_control
E1_matched_relation,MIMIC,random_disjoint,1011,40440,3.770226001739502,2.084702491760254,2.927464485168457,3.1406712532043457,0.2132067680358886,2.927464485168457,0.0,2.927464485168457,0.0,lora_continued_control
E1_matched_relation,VitalDB,random_disjoint,1040,41600,3.024254083633423,1.7265195846557615,2.375386953353882,2.6195056438446045,0.2441186904907226,2.375386953353882,0.0,2.375386953353882,0.0,lora_continued_control
