split_mode,candidate,Scope,epoch_zero_kind,best_epoch,best_trained_epoch,best_trained_evidence,epochs_completed,optimizer_steps,examples_processed,runtime_seconds,summed_training_epoch_seconds,trainable_parameters,gpu,seed,synthetic_smoke_only_cli_split_mode,effective_split_mode_source,epoch_zero_sbp_mae,epoch_zero_dbp_mae,epoch_zero_mean_mae,best_sbp_mae,best_dbp_mae,best_mean_mae,best_trained_sbp_mae,best_trained_dbp_mae,best_trained_mean_mae
random_disjoint,E1_matched_relation,Overall,zero_relation_fixed_blend,0,7,saved_separate_checkpoint_metrics,8,6256,1600000,260.4282494848594,34.96153103886172,65730,NVIDIA GeForce RTX 5080,20260907,random_disjoint,cache_manifest_recorded_in_run,3.3919665813446045,1.9030787944793701,2.6475226879119873,3.3919665813446045,1.9030787944793701,2.6475226879119873,3.4258580207824707,1.9263149499893188,2.67608642578125
random_disjoint,E1_matched_relation,MIMIC,zero_relation_fixed_blend,0,7,saved_separate_checkpoint_metrics,8,6256,1600000,260.4282494848594,34.96153103886172,65730,NVIDIA GeForce RTX 5080,20260907,random_disjoint,cache_manifest_recorded_in_run,3.770226001739502,2.084702491760254,2.927464485168457,3.770226001739502,2.084702491760254,2.927464485168457,3.8037467002868652,2.113064765930176,2.9584057331085205
random_disjoint,E1_matched_relation,VitalDB,zero_relation_fixed_blend,0,7,saved_separate_checkpoint_metrics,8,6256,1600000,260.4282494848594,34.96153103886172,65730,NVIDIA GeForce RTX 5080,20260907,random_disjoint,cache_manifest_recorded_in_run,3.024254083633423,1.7265195846557617,2.375386953353882,3.024254083633423,1.7265195846557617,2.375386953353882,3.058506488800049,1.7447723150253296,2.401639461517334
random_disjoint,E2_bp_state_metric,Overall,initial_random_projection,0,1,derived_history_not_separate_checkpoint,8,6256,1600000,231.52777988882735,32.38627295894548,8192,NVIDIA GeForce RTX 5080,20260907,random_disjoint,cache_manifest_recorded_in_run,3.4765310287475586,1.9485704898834229,2.7125508785247803,3.4765310287475586,1.9485704898834229,2.7125508785247803,3.515415906906128,1.9698665142059326,2.7426412105560303
random_disjoint,E2_bp_state_metric,MIMIC,initial_random_projection,0,1,derived_history_not_separate_checkpoint,8,6256,1600000,231.52777988882735,32.38627295894548,8192,NVIDIA GeForce RTX 5080,20260907,random_disjoint,cache_manifest_recorded_in_run,3.845250129699707,2.127264976501465,2.986257553100586,3.845250129699707,2.127264976501465,2.986257553100586,3.886779546737671,2.1531620025634766,3.019970655441284
random_disjoint,E2_bp_state_metric,VitalDB,initial_random_projection,0,1,derived_history_not_separate_checkpoint,8,6256,1600000,231.52777988882735,32.38627295894548,8192,NVIDIA GeForce RTX 5080,20260907,random_disjoint,cache_manifest_recorded_in_run,3.1180942058563232,1.7748589515686035,2.446476459503174,3.1180942058563232,1.7748589515686035,2.446476459503174,3.1544077396392822,1.791682243347168,2.4730451107025146
chronological_blocked,E1_matched_relation,Overall,zero_relation_fixed_blend,8,8,saved_separate_checkpoint_metrics,16,12512,3200000,220.48967039585114,84.61312372097746,65730,NVIDIA GeForce RTX 5070 Ti,20260907,random_disjoint,cache_manifest_recorded_in_run,4.897695541381836,2.695645332336426,3.7966701984405518,4.673410415649414,2.593441963195801,3.6334261894226074,4.673410415649414,2.593441963195801,3.6334261894226074
chronological_blocked,E1_matched_relation,MIMIC,zero_relation_fixed_blend,8,8,saved_separate_checkpoint_metrics,16,12512,3200000,220.48967039585114,84.61312372097746,65730,NVIDIA GeForce RTX 5070 Ti,20260907,random_disjoint,cache_manifest_recorded_in_run,4.543566703796387,2.4558522701263428,3.4997096061706543,4.399313449859619,2.3999109268188477,3.3996124267578125,4.399313449859619,2.3999109268188477,3.3996124267578125
chronological_blocked,E1_matched_relation,VitalDB,zero_relation_fixed_blend,8,8,saved_separate_checkpoint_metrics,16,12512,3200000,220.48967039585114,84.61312372097746,65730,NVIDIA GeForce RTX 5070 Ti,20260907,random_disjoint,cache_manifest_recorded_in_run,5.241949081420898,2.9287517070770264,4.085350513458252,4.939864635467529,2.78157639503479,3.860720157623291,4.939864635467529,2.78157639503479,3.860720157623291
chronological_blocked,E2_bp_state_metric,Overall,initial_random_projection,3,3,derived_history_not_separate_checkpoint,11,8602,2200000,177.65778773697093,36.21147201862186,8192,NVIDIA GeForce RTX 5070 Ti,20260907,random_disjoint,cache_manifest_recorded_in_run,4.93528938293457,2.7196104526519775,3.8274497985839844,4.879563331604004,2.696716785430908,3.788140296936035,4.879563331604004,2.696716785430908,3.788140296936035
chronological_blocked,E2_bp_state_metric,MIMIC,initial_random_projection,3,3,derived_history_not_separate_checkpoint,11,8602,2200000,177.65778773697093,36.21147201862186,8192,NVIDIA GeForce RTX 5070 Ti,20260907,random_disjoint,cache_manifest_recorded_in_run,4.580906867980957,2.474782705307007,3.5278449058532715,4.5473952293396,2.4734628200531006,3.5104291439056396,4.5473952293396,2.4734628200531006,3.5104291439056396
chronological_blocked,E2_bp_state_metric,VitalDB,initial_random_projection,3,3,derived_history_not_separate_checkpoint,11,8602,2200000,177.65778773697093,36.21147201862186,8192,NVIDIA GeForce RTX 5070 Ti,20260907,random_disjoint,cache_manifest_recorded_in_run,5.279789924621582,2.957611083984375,4.11870002746582,5.2024688720703125,2.913745164871216,4.058106899261475,5.2024688720703125,2.913745164871216,4.058106899261475
