candidate,backbone,split_mode,seed,view,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,sbp_bias,dbp_bias,reference_mean_mae,gain_mmhg,run_id
subject_lora_rank4,resnet_small,random_disjoint,20260906,MIMIC,1011,40440,4.2728471755981445,2.3738372325897217,3.323342084884644,0.1550963371992111,-0.1563693284988403,3.323342084884644,0.0,personal-feature-mechanisms-v1_random_disjoint_subject_lora_rank4_seed20260906_job1480
subject_nonlinear_rank4,resnet_small,random_disjoint,20260906,MIMIC,1011,40440,4.302206039428711,2.3643994331359863,3.3333027362823486,0.078714795410633,-0.1846910417079925,3.323342084884644,-0.0099606513977046,personal-feature-mechanisms-v1_random_disjoint_subject_nonlinear_rank4_seed20260906_job1487
subject_lora_rank1,resnet_small,random_disjoint,20260906,MIMIC,1011,40440,4.578849792480469,2.5862178802490234,3.582534074783325,0.3096160590648651,-0.2140444815158844,3.323342084884644,-0.2591919898986812,personal-feature-mechanisms-v1_random_disjoint_subject_lora_rank1_seed20260906_job1482
shared_bilinear64,resnet_small,random_disjoint,20260906,MIMIC,1011,40440,4.62382173538208,2.582111358642578,3.602966547012329,0.2339282482862472,-0.1807377487421035,3.323342084884644,-0.2796244621276851,personal-feature-mechanisms-v1_random_disjoint_shared_bilinear64_seed20260906_job1565
shared_bilinear32,resnet_small,random_disjoint,20260906,MIMIC,1011,40440,4.828231334686279,2.692596197128296,3.760413885116577,-0.2044832855463028,-0.2262191325426101,3.323342084884644,-0.4370718002319331,personal-feature-mechanisms-v1_random_disjoint_shared_bilinear32_seed20260906_job1485
feature_affine32,resnet_small,random_disjoint,20260906,MIMIC,1011,40440,5.160132884979248,2.844954013824463,4.002543449401856,0.2606418132781982,-0.247772604227066,3.323342084884644,-0.6792013645172124,personal-feature-mechanisms-v1_random_disjoint_feature_affine32_seed20260906_job1484
output_profile32,resnet_small,random_disjoint,20260906,MIMIC,1011,40440,5.607977390289307,3.081732273101806,4.344854831695557,0.0812423676252365,-0.2293219566345214,3.323342084884644,-1.0215127468109126,personal-feature-mechanisms-v1_random_disjoint_output_profile32_seed20260906_job1483
shared_lora_rank4,resnet_small,random_disjoint,20260906,MIMIC,1011,40440,7.863066673278809,4.237140655517578,6.050103664398193,-0.5684314370155334,-0.5116099119186401,3.323342084884644,-2.7267615795135494,personal-feature-mechanisms-v1_random_disjoint_shared_lora_rank4_seed20260906_job1481
subject_lora_rank4,resnet_small,random_disjoint,20260906,Overall,2051,82040,3.905611038208008,2.1890323162078857,3.047321557998657,0.0683485642075538,-0.0976042449474334,3.047321557998657,0.0,personal-feature-mechanisms-v1_random_disjoint_subject_lora_rank4_seed20260906_job1480
subject_nonlinear_rank4,resnet_small,random_disjoint,20260906,Overall,2051,82040,3.923084974288941,2.1820051670074463,3.0525448322296143,-0.057085707783699,-0.1402127742767334,3.047321557998657,-0.0052232742309574,personal-feature-mechanisms-v1_random_disjoint_subject_nonlinear_rank4_seed20260906_job1487
subject_lora_rank1,resnet_small,random_disjoint,20260906,Overall,2051,82040,4.205214023590088,2.3865742683410645,3.295894145965576,0.1756288409233093,-0.141428992152214,3.047321557998657,-0.2485725879669194,personal-feature-mechanisms-v1_random_disjoint_subject_lora_rank1_seed20260906_job1482
shared_bilinear64,resnet_small,random_disjoint,20260906,Overall,2051,82040,4.254327297210693,2.393461942672729,3.323894500732422,0.1380652785301208,-0.1430795192718505,3.047321557998657,-0.2765729427337651,personal-feature-mechanisms-v1_random_disjoint_shared_bilinear64_seed20260906_job1565
shared_bilinear32,resnet_small,random_disjoint,20260906,Overall,2051,82040,4.4605488777160645,2.513695240020752,3.487122058868408,-0.2256195396184921,-0.0711791962385177,3.047321557998657,-0.4398005008697514,personal-feature-mechanisms-v1_random_disjoint_shared_bilinear32_seed20260906_job1485
feature_affine32,resnet_small,random_disjoint,20260906,Overall,2051,82040,4.802549839019775,2.673469066619873,3.738009452819824,0.2377446740865707,-0.1354566216468811,3.047321557998657,-0.6906878948211674,personal-feature-mechanisms-v1_random_disjoint_feature_affine32_seed20260906_job1484
