Scope,Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
MIMIC,shared_bilinear32,DBP,2.662496409053029,0.8784260251051171,-0.1007619983246725,4.506001712503989,86.78783382789318,96.26112759643917,98.50642927794264,PASS*,PASS (Grade A)*
VitalDB,shared_bilinear32,SBP,5.345156738574688,0.8151618244534394,0.2849101868042579,7.637534472294449,60.87019230769231,85.8076923076923,94.5985576923077,PASS*,PASS (Grade B)*
VitalDB,shared_bilinear32,DBP,3.0556908553380238,0.841261342300788,-0.0429638375685765,4.682699843444576,82.07451923076923,96.1610576923077,99.00721153846152,PASS*,PASS (Grade A)*
Overall,shared_bilinear64,SBP,5.013598687494167,0.8749257754769829,0.0300260421068478,7.26949848986871,64.17235494880546,87.30375426621161,95.0901999024866,PASS*,PASS (Grade A)*
Overall,shared_bilinear64,DBP,2.79470488942582,0.8692310224372701,-0.08625373489272,4.497215329685087,85.06216479765968,96.46392003900536,98.81399317406144,PASS*,PASS (Grade A)*
MIMIC,shared_bilinear64,SBP,4.825061522652676,0.9005389647837934,0.0597593513134089,7.14664399784346,66.5727002967359,88.00445103857567,95.26211671612263,PASS*,PASS (Grade A)*
MIMIC,shared_bilinear64,DBP,2.587828695125561,0.8853570740689106,-0.0895953992471968,4.375847898429455,87.24777448071217,96.5751730959446,98.7141444114738,PASS*,PASS (Grade A)*
VitalDB,shared_bilinear64,SBP,5.196878566008348,0.8273325317045603,0.0011218347916236,7.386940118305475,61.83894230769232,86.62259615384616,94.92307692307692,PASS*,PASS (Grade B)*
VitalDB,shared_bilinear64,DBP,2.995812420615783,0.8459689687668719,-0.0830052515635123,4.612188385534202,82.9375,96.35576923076924,98.9110576923077,PASS*,PASS (Grade A)*
Overall,subject_nonlinear_rank4,SBP,4.995662806012001,0.8670367984867862,-0.1737698401084241,7.493301906962316,65.53754266211604,87.28303266699172,94.61116528522672,PASS*,PASS (Grade B)*
Overall,subject_nonlinear_rank4,DBP,2.770223844557027,0.8674964786728652,-0.1835969015890537,4.52405165396707,85.24622135543638,96.31643100926377,98.70429058995612,PASS*,PASS (Grade A)*
MIMIC,subject_nonlinear_rank4,SBP,4.714182250270976,0.900360910644724,-0.2559680058623633,7.148706872092315,68.87240356083086,88.61770524233432,94.8763600395648,PASS*,PASS (Grade B)*
MIMIC,subject_nonlinear_rank4,DBP,2.5486919325254083,0.888427042407929,-0.2379228416937159,4.311205439669362,87.43076162215628,96.32047477744808,98.60781404549952,PASS*,PASS (Grade A)*
VitalDB,subject_nonlinear_rank4,SBP,5.269294384717941,0.8068126262143076,-0.0938637385918543,7.812991511873525,62.29567307692307,85.98557692307692,94.3533653846154,PASS*,PASS (Grade B)*
VitalDB,subject_nonlinear_rank4,DBP,2.9855784244262256,0.8385282699812464,-0.1307858194296176,4.721227439961733,83.12259615384615,96.3125,98.79807692307692,PASS*,PASS (Grade A)*
