Setting,Scope,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,sbp_rmse,dbp_rmse,sbp_bias,dbp_bias,participant_mean_mae_p90,participant_mean_mae_p95,worst_30_n_participants,worst_30_mean_mae,retained_70_n_participants,retained_70_mean_mae,tail_definition
population_lora,Overall,2476,99040,3.7752086484706804,2.081029163193785,2.928118905832233,5.182549143579558,3.002444296701347,-0.1214710668553147,-0.18872575107361322,4.3661330713742945,5.2175801633555325,743,4.344921418596684,1733,2.3206842451374916,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
population_lora,MIMIC,1198,47920,4.103062661981475,2.2476392086107793,3.1753509352961276,5.645009342021942,3.3183430219108776,-0.020554540589332097,-0.227245253264054,4.902300904535575,5.797842304092414,360,4.78501461428086,838,2.483848638834906,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
population_lora,VitalDB,1278,51120,3.4678775779026596,1.924848541590061,2.69636305974636,4.7490379403448335,2.7063201395800505,-0.2160704396774173,-0.1526174853270185,4.009291880637595,4.493323394055717,384,3.8796281119570355,894,2.1881149836290237,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
