candidate,view,split_mode,seed,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,sbp_bias,dbp_bias,reference_mean_mae,reference_candidate,gain_mmhg
D0_frozen_lora,Overall,random_disjoint,20260907,2051,82040,3.6913129355720287,2.0688831023504997,2.880098018961264,0.022515257435970215,-0.11826258095109363,2.876403570175171,lora_continued_control,-0.003694448786093041
D0_frozen_lora,MIMIC,random_disjoint,20260907,1011,40440,4.043434272251073,2.245703064133694,3.1445686681923832,0.04684970805718096,-0.18743857462493413,3.1406712532043457,lora_continued_control,-0.0038974149880375286
D0_frozen_lora,VitalDB,random_disjoint,20260907,1040,41600,3.3490103669349964,1.896993697193953,2.6230020320644747,-0.0011406363890721352,-0.051015533254696765,2.6195056438446045,lora_continued_control,-0.0034963882198701945
lora_continued_control,Overall,random_disjoint,20260907,2051,82040,3.685293674468994,2.067514181137085,2.876403570175171,0.024492083117365837,-0.10193469375371933,2.876403570175171,lora_continued_control,0.0
lora_continued_control,MIMIC,random_disjoint,20260907,1011,40440,4.0379319190979,2.243410587310791,3.1406712532043457,0.08619213104248047,-0.16400209069252014,3.1406712532043457,lora_continued_control,0.0
lora_continued_control,VitalDB,random_disjoint,20260907,1040,41600,3.3424885272979736,1.896522879600525,2.6195056438446045,-0.03548748418688774,-0.04159801825881004,2.6195056438446045,lora_continued_control,0.0
pair_single,Overall,random_disjoint,20260907,2051,82040,3.8894095420837402,2.1856472492218018,3.0375285148620605,-0.10030524432659149,-0.06119130924344063,2.876403570175171,lora_continued_control,-0.16112494468688965
pair_single,MIMIC,random_disjoint,20260907,1011,40440,4.4142680168151855,2.433502674102783,3.4238855838775635,-0.10276284068822861,-0.06693904101848602,3.1406712532043457,lora_continued_control,-0.2832143306732178
pair_single,VitalDB,random_disjoint,20260907,1040,41600,3.3791868686676025,1.9447038173675537,2.661945343017578,-0.09791615605354309,-0.05560384318232536,2.6195056438446045,lora_continued_control,-0.04243969917297363
pair_uniform,Overall,random_disjoint,20260907,2051,82040,4.057730674743652,2.321228504180908,3.1894798278808594,0.09633331000804901,0.008073115721344948,2.876403570175171,lora_continued_control,-0.3130762577056885
pair_uniform,MIMIC,random_disjoint,20260907,1011,40440,4.444179534912109,2.562584638595581,3.5033817291259766,-0.018823059275746346,0.001184584223665297,3.1406712532043457,lora_continued_control,-0.36271047592163086
pair_uniform,VitalDB,random_disjoint,20260907,1040,41600,3.682058095932007,2.0866024494171143,2.8843302726745605,0.2082785964012146,0.01476957369595766,2.6195056438446045,lora_continued_control,-0.26482462882995605
pair_retrieved,Overall,random_disjoint,20260907,2051,82040,3.4526712894439697,1.9419763088226318,2.697323799133301,-0.10750092566013336,-0.0932975634932518,2.876403570175171,lora_continued_control,0.17907977104187012
pair_retrieved,MIMIC,random_disjoint,20260907,1011,40440,3.8392956256866455,2.1275463104248047,2.9834208488464355,-0.12129498273134232,-0.12194161862134933,3.1406712532043457,lora_continued_control,0.15725040435791016
pair_retrieved,VitalDB,random_disjoint,20260907,1040,41600,3.07682728767395,1.7615809440612793,2.419203996658325,-0.09409153461456299,-0.06545224040746689,2.6195056438446045,lora_continued_control,0.2003016471862793
pair_distance_blend,Overall,random_disjoint,20260907,2051,82040,3.3919665813446045,1.9030787944793701,2.6475226879119873,-0.09020727127790451,-0.10278987139463425,2.876403570175171,lora_continued_control,0.2288808822631836
pair_distance_blend,MIMIC,random_disjoint,20260907,1011,40440,3.770226001739502,2.084702491760254,2.927464485168457,-0.08940335363149643,-0.13851487636566162,3.1406712532043457,lora_continued_control,0.21320676803588867
pair_distance_blend,VitalDB,random_disjoint,20260907,1040,41600,3.024254083633423,1.7265195846557617,2.375386953353882,-0.09098876267671585,-0.06806104630231857,2.6195056438446045,lora_continued_control,0.24411869049072266
