Seed,Setting,BP,MAE,R²,ME,STD,≤5 mmHg (%),≤10 mmHg (%),≤15 mmHg (%),AAMI,BHS,Participant-macro MAE,N participants,N query events,Method,K,Aggregation,Standards scope
20260813,B0 Population BP mean (K=1),SBP,17.977358,-0.003915,1.377400,22.014777,15.984319,31.902978,47.190143,FAIL*,FAIL (Grade D)*,17.380697,697,103564,population_mean,1,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B0 Population BP mean (K=1),DBP,10.198625,-0.000694,-0.346821,13.165570,29.949596,57.974779,77.576185,FAIL*,FAIL (Grade D)*,9.858857,697,103564,population_mean,1,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B0 Population BP mean (K=2),SBP,17.977358,-0.003915,1.377400,22.014777,15.984319,31.902978,47.190143,FAIL*,FAIL (Grade D)*,17.380697,697,103564,population_mean,2,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B0 Population BP mean (K=2),DBP,10.198625,-0.000694,-0.346821,13.165570,29.949596,57.974779,77.576185,FAIL*,FAIL (Grade D)*,9.858857,697,103564,population_mean,2,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B0 Population BP mean (K=3),SBP,17.977358,-0.003915,1.377400,22.014777,15.984319,31.902978,47.190143,FAIL*,FAIL (Grade D)*,17.380697,697,103564,population_mean,3,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B0 Population BP mean (K=3),DBP,10.198625,-0.000694,-0.346821,13.165570,29.949596,57.974779,77.576185,FAIL*,FAIL (Grade D)*,9.858857,697,103564,population_mean,3,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B0 Population BP mean (K=5),SBP,17.977358,-0.003915,1.377400,22.014777,15.984319,31.902978,47.190143,FAIL*,FAIL (Grade D)*,17.380697,697,103564,population_mean,5,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B0 Population BP mean (K=5),DBP,10.198625,-0.000694,-0.346821,13.165570,29.949596,57.974779,77.576185,FAIL*,FAIL (Grade D)*,9.858857,697,103564,population_mean,5,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B3 Population PPG network (K=1),SBP,15.061996,0.228557,-0.719951,19.322571,21.597273,41.799274,59.000232,FAIL*,FAIL (Grade D)*,14.551506,697,103564,population,1,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B3 Population PPG network (K=1),DBP,9.146827,0.175962,-0.292398,11.947671,34.077479,63.436136,82.442741,FAIL*,FAIL (Grade D)*,8.725433,697,103564,population,1,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B3 Population PPG network (K=2),SBP,15.061996,0.228557,-0.719951,19.322571,21.597273,41.799274,59.000232,FAIL*,FAIL (Grade D)*,14.551506,697,103564,population,2,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B3 Population PPG network (K=2),DBP,9.146827,0.175962,-0.292398,11.947671,34.077479,63.436136,82.442741,FAIL*,FAIL (Grade D)*,8.725433,697,103564,population,2,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B3 Population PPG network (K=3),SBP,15.061996,0.228557,-0.719951,19.322571,21.597273,41.799274,59.000232,FAIL*,FAIL (Grade D)*,14.551506,697,103564,population,3,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B3 Population PPG network (K=3),DBP,9.146827,0.175962,-0.292398,11.947671,34.077479,63.436136,82.442741,FAIL*,FAIL (Grade D)*,8.725433,697,103564,population,3,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B3 Population PPG network (K=5),SBP,15.061996,0.228557,-0.719951,19.322571,21.597273,41.799274,59.000232,FAIL*,FAIL (Grade D)*,14.551506,697,103564,population,5,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B3 Population PPG network (K=5),DBP,9.146827,0.175962,-0.292398,11.947671,34.077479,63.436136,82.442741,FAIL*,FAIL (Grade D)*,8.725433,697,103564,population,5,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B1 Last-cuff persistence (K=1),SBP,18.831464,-0.317668,0.197679,25.269931,20.264764,38.195705,52.491213,FAIL*,FAIL (Grade D)*,19.369449,697,103564,last_cuff,1,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B1 Last-cuff persistence (K=1),DBP,10.694021,-0.252904,0.593763,14.724675,34.930092,59.223282,75.389131,FAIL*,FAIL (Grade D)*,10.676897,697,103564,last_cuff,1,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B1 Last-cuff persistence (K=2),SBP,18.104333,-0.188872,1.058608,23.980546,20.415395,38.686223,53.609362,FAIL*,FAIL (Grade D)*,18.034405,697,103564,last_cuff,2,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B1 Last-cuff persistence (K=2),DBP,10.376849,-0.118702,0.572861,13.913263,34.736974,59.513924,76.131667,FAIL*,FAIL (Grade D)*,9.616320,697,103564,last_cuff,2,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B1 Last-cuff persistence (K=3),SBP,17.364332,-0.084229,-0.034686,22.923150,21.124136,39.674984,54.831795,FAIL*,FAIL (Grade D)*,16.855551,697,103564,last_cuff,3,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B1 Last-cuff persistence (K=3),DBP,9.958043,-0.053908,0.325954,13.511844,36.671044,61.846781,77.681434,FAIL*,FAIL (Grade D)*,9.130924,697,103564,last_cuff,3,event-pooled diagnostic,numerical screen only; formal compliance not established
