candidate,runner_random,backbone_random,split_mode_random,seed_random,view,n_participants_random,n_events_random,sbp_mae_random,dbp_mae_random,mean_mae_random,sbp_bias_random,dbp_bias_random,worst_30_mean_mae_random,retained_70_mean_mae_random,runner_chronological,backbone_chronological,split_mode_chronological,seed_chronological,n_participants_chronological,n_events_chronological,sbp_mae_chronological,dbp_mae_chronological,mean_mae_chronological,sbp_bias_chronological,dbp_bias_chronological,worst_30_mean_mae_chronological,retained_70_mean_mae_chronological,mean_mae_gain_vs_lora_random,mean_mae_gain_vs_lora_chronological,robust_mean_mae,passes_robust_gate
subject_lora_rank4,personal_profile_residual,resnet_small,random_disjoint,20260904,MIMIC,1011,40440,4.276870250701904,2.364320516586304,3.3205955028533936,-0.0570251643657684,-0.2669357657432556,4.944676399230957,2.622263669967652,personal_profile_residual,resnet_small,chronological_blocked,20260904,1011,40440,4.631188869476318,2.5143344402313232,3.5727617740631104,0.1424083113670349,0.0031430502422153,6.780691146850586,2.193397521972656,0.0,0.0,3.446678638458252,False
personal_profile_code64_reliability,personal_profile_residual,resnet_small,random_disjoint,20260904,MIMIC,1011,40440,5.405442714691162,2.9718449115753174,4.188643455505371,-0.021448515355587,-0.464814156293869,6.113261699676514,3.3610854148864746,personal_profile_residual,resnet_small,chronological_blocked,20260904,1011,40440,5.390605449676514,2.875986337661743,4.13329553604126,0.4395906627178192,-0.0306998305022716,7.641714572906494,2.624725103378296,-0.8680479526519775,-0.5605337619781494,4.160969495773315,False
personal_profile_code32_no_reliability,personal_profile_residual,resnet_small,random_disjoint,20260904,MIMIC,1011,40440,5.50387716293335,3.037464141845703,4.2706708908081055,0.1165192201733589,-0.2897525131702423,6.24267578125,3.422736167907715,personal_profile_residual,resnet_small,chronological_blocked,20260904,1011,40440,5.371129512786865,2.8361504077911377,4.103640079498291,0.2520796656608581,-0.036659587174654,7.562791347503662,2.6162540912628174,-0.950075387954712,-0.5308783054351807,4.187155485153198,False
personal_profile_code32_reliability,personal_profile_residual,resnet_small,random_disjoint,20260904,MIMIC,1011,40440,5.527478694915772,3.0601184368133545,4.293798446655273,0.2291945219039917,-0.1582336723804474,6.2638444900512695,3.446706533432007,personal_profile_residual,resnet_small,chronological_blocked,20260904,1011,40440,5.502988815307617,2.9359383583068848,4.219463348388672,0.3405369222164154,-0.023145854473114,7.750268936157227,2.7012667655944824,-0.97320294380188,-0.6467015743255615,4.256630897521973,False
personal_profile_code32_no_support,personal_profile_residual,resnet_small,random_disjoint,20260904,MIMIC,1011,40440,5.590533256530762,3.0812418460845947,4.335887908935547,-0.0974422618746757,-0.3948468565940857,6.309439182281494,3.487287998199463,personal_profile_residual,resnet_small,chronological_blocked,20260904,1011,40440,5.492869377136231,2.893422842025757,4.193145751953125,0.2932078838348388,-0.0001833544956753,7.71815013885498,2.6774442195892334,-1.015292406082153,-0.6203839778900146,4.264516830444336,False
personal_profile_support_only,personal_profile_residual,resnet_small,random_disjoint,20260904,MIMIC,1011,40440,6.182905197143555,3.3748559951782227,4.778880596160889,-0.0380217283964157,-0.4952431321144104,6.819533348083496,3.90142822265625,personal_profile_residual,resnet_small,chronological_blocked,20260904,1011,40440,6.269296646118164,3.308798313140869,4.7890472412109375,0.4603607654571533,-0.0125117320567369,8.79223346710205,3.067734241485596,-1.4582850933074951,-1.2162854671478271,4.783963918685913,False
personal_profile_code32_stable_only,personal_profile_residual,resnet_small,random_disjoint,20260904,MIMIC,1011,40440,7.121889591217041,3.806633472442627,5.464262008666992,0.2988261282444,-0.4459103047847748,8.001886367797852,4.373118877410889,personal_profile_residual,resnet_small,chronological_blocked,20260904,1011,40440,6.5409345626831055,3.420175552368164,4.980554580688477,0.35118168592453,-0.1551709920167923,9.066568374633787,3.2236273288726807,-2.143666505813598,-1.4077928066253662,5.222408294677734,False
residual_reference,personal_profile_residual,resnet_small,random_disjoint,20260904,MIMIC,1011,40440,7.811641216278076,4.18910551071167,6.000372886657715,-0.2412020862102508,-0.4829627573490143,8.694648742675781,4.841872692108154,personal_profile_residual,resnet_small,chronological_blocked,20260904,1011,40440,7.130162239074707,3.726774215698242,5.428468227386475,0.3140320479869842,0.111837163567543,9.989343643188477,3.4673562049865723,-2.6797773838043213,-1.8557064533233645,5.714420557022095,False
subject_lora_rank4,personal_profile_residual,resnet_small,random_disjoint,20260904,Overall,2051,82040,3.901790618896485,2.17708158493042,3.0394363403320312,0.0193237755447626,-0.1215020418167114,4.476913928985596,2.422372579574585,personal_profile_residual,resnet_small,chronological_blocked,20260904,2051,82040,4.878872871398926,2.71006178855896,3.794467210769653,0.0704422742128372,0.0209950301796197,6.973379135131836,2.429861068725586,0.0,0.0,3.4169517755508423,False
personal_profile_code64_reliability,personal_profile_residual,resnet_small,random_disjoint,20260904,Overall,2051,82040,5.018830299377441,2.7872984409332275,3.903064727783203,-0.011875120922923,-0.2468033283948898,5.630374431610107,3.1615853309631348,personal_profile_residual,resnet_small,chronological_blocked,20260904,2051,82040,5.498246669769287,3.00870943069458,4.253478050231934,0.326254278421402,-0.0944500192999839,7.575892925262451,2.827270984649658,-0.8636283874511719,-0.4590108394622807,4.078271389007568,False
