split_mode,Scope,Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
random_disjoint,Overall,residual_reference,SBP,7.802262625189772,0.7374653137084743,-0.1688105738029312,10.842669518951702,45.23159434422233,72.6962457337884,86.37006338371526,FAIL*,FAIL (Grade C)*
random_disjoint,Overall,residual_reference,DBP,4.233964326984995,0.7708468481721978,-0.2712924585988729,6.13426662770086,70.2693807898586,91.55533885909313,97.36591906387127,PASS*,PASS (Grade A)*
random_disjoint,MIMIC,residual_reference,SBP,7.811641444367542,0.7690864983340119,-0.2412020747432841,10.93399292318598,45.79376854599407,72.68545994065282,86.34767556874382,FAIL*,FAIL (Grade C)*
random_disjoint,MIMIC,residual_reference,DBP,4.189105087501005,0.7715171216191941,-0.4829627905354184,6.337127404587776,71.84965380811079,91.71612265084076,97.0450049455984,PASS*,PASS (Grade A)*
random_disjoint,VitalDB,residual_reference,SBP,7.793145330777535,0.67778514005492,-0.0984376820234152,10.752813514362728,44.68509615384615,72.70673076923076,86.39182692307692,FAIL*,FAIL (Grade C)*
random_disjoint,VitalDB,residual_reference,DBP,4.277572683829527,0.7662432637219925,-0.0655244724567119,5.923244550578104,68.73317307692308,91.39903846153848,97.6778846153846,PASS*,PASS (Grade A)*
random_disjoint,Overall,subject_lora_rank4,SBP,3.901790778570673,0.924770489573083,0.0193237733399211,5.804799409023436,74.04924427108728,92.9205265724037,97.5780107264749,PASS*,PASS (Grade A)*
random_disjoint,Overall,subject_lora_rank4,DBP,2.1770816455870823,0.9202864190932254,-0.1215020345048983,3.619475487832853,91.09215017064848,98.2106289614822,99.3466601657728,PASS*,PASS (Grade A)*
random_disjoint,MIMIC,subject_lora_rank4,SBP,4.276870432758425,0.9209312402948474,-0.057025172425071,6.399484545354657,70.95697329376854,91.15727002967358,96.73837784371908,PASS*,PASS (Grade A)*
random_disjoint,MIMIC,subject_lora_rank4,DBP,2.3643203915521487,0.9034374751677122,-0.2669357744098063,4.123055958922498,89.55489614243324,97.5024727992087,98.94906033630068,PASS*,PASS (Grade A)*
random_disjoint,VitalDB,subject_lora_rank4,SBP,3.53717007627854,0.925770092618642,0.0935437581172356,5.160427079649087,77.05528846153847,94.6346153846154,98.39423076923076,PASS*,PASS (Grade A)*
random_disjoint,VitalDB,subject_lora_rank4,DBP,1.9950639800383492,0.9382417756061006,0.019876341498815,3.044684626974451,92.58653846153844,98.89903846153844,99.73317307692308,PASS*,PASS (Grade A)*
random_disjoint,Overall,personal_profile_support_only,SBP,5.960195907693209,0.8426947113345294,-0.1565923132819701,8.392504472988023,55.92637737688933,82.68893222818137,92.95953193564117,FAIL*,PASS (Grade B)*
random_disjoint,Overall,personal_profile_support_only,DBP,3.3071862779902808,0.8507999988417083,-0.3755939966524478,4.940341341381594,79.97684056557776,95.57898586055585,98.65065821550462,PASS*,PASS (Grade A)*
random_disjoint,MIMIC,personal_profile_support_only,SBP,6.182905037160207,0.8513398449675036,-0.0380217330510019,8.77511844941511,54.7082096933729,81.56280909990109,92.12413452027695,FAIL*,PASS (Grade B)*
random_disjoint,MIMIC,personal_profile_support_only,DBP,3.3748560101766616,0.8407773768840074,-0.4952431401442349,5.282325920456477,80.25964391691394,95.03709198813056,98.23194856577646,PASS*,PASS (Grade A)*
random_disjoint,VitalDB,personal_profile_support_only,SBP,5.7436969366440405,0.8213902464862838,-0.2718565984872671,8.001466433682854,57.11057692307693,83.78365384615385,93.7716346153846,FAIL*,PASS (Grade B)*
random_disjoint,VitalDB,personal_profile_support_only,DBP,3.2414034902590974,0.8597768548606496,-0.2592812235080279,4.580568249843766,79.70192307692308,96.10576923076924,99.0576923076923,PASS*,PASS (Grade A)*
random_disjoint,Overall,personal_profile_code32_no_support,SBP,5.235729023167588,0.8749087938018374,-0.2299209206933105,7.481762522673316,61.52852267186738,86.73451974646514,94.98537298878595,PASS*,PASS (Grade B)*
