Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
Huber + CVaR (K=2),SBP,10.956662,0.442126,0.175155,14.295688,30.290877,55.588365,73.464081,FAIL*,FAIL (Grade D)*
Huber + CVaR (K=2),DBP,6.425646,0.477675,-0.841433,8.520024,48.810048,79.365359,92.847069,FAIL*,FAIL (Grade C)*
Huber + CVaR (K=3),SBP,10.652095,0.467821,0.109105,13.963217,31.119436,57.183781,74.980167,FAIL*,FAIL (Grade D)*
Huber + CVaR (K=3),DBP,6.132756,0.517789,-0.945019,8.171691,50.969590,81.159101,93.829881,FAIL*,PASS (Grade B)*
Huber + CVaR (K=5),SBP,10.344830,0.496094,-0.114669,13.587176,32.379903,58.448656,76.328779,FAIL*,FAIL (Grade D)*
Huber + CVaR (K=5),DBP,5.910488,0.544180,-1.156182,7.913863,53.027766,82.754517,94.446893,PASS*,PASS (Grade B)*
Quality gate + Huber + CVaR (K=1),SBP,11.206932,0.413394,-0.386362,14.655212,29.810489,54.892023,72.626708,FAIL*,FAIL (Grade D)*
Quality gate + Huber + CVaR (K=1),DBP,6.839989,0.399903,-0.507322,9.162712,46.998678,76.888497,91.119436,FAIL*,FAIL (Grade C)*
Quality gate + Huber + CVaR (K=2),SBP,10.771427,0.457618,-0.047125,14.096779,30.824152,56.549141,74.186866,FAIL*,FAIL (Grade D)*
Quality gate + Huber + CVaR (K=2),DBP,6.370860,0.483606,-0.485135,8.498890,49.625386,79.739974,92.789775,FAIL*,FAIL (Grade C)*
Quality gate + Huber + CVaR (K=3),SBP,10.542750,0.476060,0.083997,13.854872,31.696783,57.941825,75.315117,FAIL*,FAIL (Grade D)*
Quality gate + Huber + CVaR (K=3),DBP,6.123904,0.518425,-0.531791,8.203506,51.353019,81.269282,93.768180,FAIL*,PASS (Grade B)*
Quality gate + Huber + CVaR (K=5),SBP,10.283003,0.498155,-0.037368,13.559788,32.780961,58.999559,76.487439,FAIL*,FAIL (Grade D)*
Quality gate + Huber + CVaR (K=5),DBP,5.904776,0.546175,-0.656923,7.953268,53.406787,82.542970,94.358748,PASS*,PASS (Grade B)*
