Setting,Scope,K,Reference tail setting,Reference-tail participants,Mean MAE on reference worst 30%,Selection
Fixed-first M0,VitalDB,1,Fixed-first M0,115,13.886228,reference observed query error; oracle diagnostic only
Fixed-first M0,VitalDB,2,Fixed-first M0,115,12.976147,reference observed query error; oracle diagnostic only
Fixed-first M0,VitalDB,3,Fixed-first M0,115,12.661637,reference observed query error; oracle diagnostic only
Fixed-first M0,VitalDB,5,Fixed-first M0,115,12.109617,reference observed query error; oracle diagnostic only
Huber,VitalDB,1,Fixed-first M0,115,13.663418,reference observed query error; oracle diagnostic only
Huber,VitalDB,2,Fixed-first M0,115,12.920446,reference observed query error; oracle diagnostic only
Huber,VitalDB,3,Fixed-first M0,115,12.592809,reference observed query error; oracle diagnostic only
Huber,VitalDB,5,Fixed-first M0,115,12.110952,reference observed query error; oracle diagnostic only
PPG quality gate,VitalDB,1,Fixed-first M0,115,13.312653,reference observed query error; oracle diagnostic only
PPG quality gate,VitalDB,2,Fixed-first M0,115,12.788997,reference observed query error; oracle diagnostic only
PPG quality gate,VitalDB,3,Fixed-first M0,115,12.415669,reference observed query error; oracle diagnostic only
PPG quality gate,VitalDB,5,Fixed-first M0,115,11.898590,reference observed query error; oracle diagnostic only
Participant CVaR,VitalDB,1,Fixed-first M0,115,14.108871,reference observed query error; oracle diagnostic only
Participant CVaR,VitalDB,2,Fixed-first M0,115,12.913934,reference observed query error; oracle diagnostic only
Participant CVaR,VitalDB,3,Fixed-first M0,115,12.476646,reference observed query error; oracle diagnostic only
Participant CVaR,VitalDB,5,Fixed-first M0,115,11.940037,reference observed query error; oracle diagnostic only
Quality gate + Huber,VitalDB,1,Fixed-first M0,115,13.572460,reference observed query error; oracle diagnostic only
Quality gate + Huber,VitalDB,2,Fixed-first M0,115,12.853014,reference observed query error; oracle diagnostic only
Quality gate + Huber,VitalDB,3,Fixed-first M0,115,12.442552,reference observed query error; oracle diagnostic only
Quality gate + Huber,VitalDB,5,Fixed-first M0,115,11.847071,reference observed query error; oracle diagnostic only
Quality gate + CVaR,VitalDB,1,Fixed-first M0,115,13.615011,reference observed query error; oracle diagnostic only
Quality gate + CVaR,VitalDB,2,Fixed-first M0,115,12.757920,reference observed query error; oracle diagnostic only
Quality gate + CVaR,VitalDB,3,Fixed-first M0,115,12.332169,reference observed query error; oracle diagnostic only
Quality gate + CVaR,VitalDB,5,Fixed-first M0,115,11.952506,reference observed query error; oracle diagnostic only
Huber + CVaR,VitalDB,1,Fixed-first M0,115,14.126829,reference observed query error; oracle diagnostic only
Huber + CVaR,VitalDB,2,Fixed-first M0,115,12.921166,reference observed query error; oracle diagnostic only
Huber + CVaR,VitalDB,3,Fixed-first M0,115,12.493886,reference observed query error; oracle diagnostic only
Huber + CVaR,VitalDB,5,Fixed-first M0,115,11.950288,reference observed query error; oracle diagnostic only
Quality gate + Huber + CVaR,VitalDB,1,Fixed-first M0,115,13.671335,reference observed query error; oracle diagnostic only
Quality gate + Huber + CVaR,VitalDB,2,Fixed-first M0,115,12.803004,reference observed query error; oracle diagnostic only
Quality gate + Huber + CVaR,VitalDB,3,Fixed-first M0,115,12.363363,reference observed query error; oracle diagnostic only
Quality gate + Huber + CVaR,VitalDB,5,Fixed-first M0,115,11.916201,reference observed query error; oracle diagnostic only
