Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
Quality gate + CVaR (K=3),SBP,11.901474,0.501813,-0.440759,15.532297,28.027114,52.371480,70.339114,FAIL*,FAIL (Grade D)*
Quality gate + CVaR (K=3),DBP,7.253267,0.446930,0.634196,9.770503,45.016608,74.908269,89.700089,FAIL*,FAIL (Grade C)*
Quality gate + CVaR (K=5),SBP,11.719987,0.512921,-0.578373,15.353447,28.757097,53.246302,71.038199,FAIL*,FAIL (Grade D)*
Quality gate + CVaR (K=5),DBP,7.097810,0.465030,0.600917,9.610750,45.874049,75.819783,90.321927,FAIL*,FAIL (Grade C)*
Huber + CVaR (K=1),SBP,12.706642,0.440340,-0.493633,16.461948,26.196362,49.380093,67.101502,FAIL*,FAIL (Grade D)*
Huber + CVaR (K=1),DBP,7.252809,0.427970,-1.105739,9.895890,45.870187,74.898613,89.478970,FAIL*,FAIL (Grade C)*
Huber + CVaR (K=2),SBP,12.374553,0.463607,-0.264567,16.121206,27.162914,50.741570,68.524777,FAIL*,FAIL (Grade D)*
Huber + CVaR (K=2),DBP,7.091908,0.446672,-1.097524,9.731652,47.012475,76.122977,89.845892,FAIL*,FAIL (Grade C)*
Huber + CVaR (K=3),SBP,12.244037,0.474237,-0.361008,15.958721,27.149396,51.371133,69.171720,FAIL*,FAIL (Grade D)*
Huber + CVaR (K=3),DBP,6.989776,0.457799,-1.137724,9.627384,47.666177,76.911861,90.291993,FAIL*,FAIL (Grade C)*
Huber + CVaR (K=5),SBP,12.040304,0.487539,-0.500426,15.751629,27.996215,52.233402,69.950948,FAIL*,FAIL (Grade D)*
Huber + CVaR (K=5),DBP,6.842104,0.472101,-1.167638,9.494127,48.759221,77.828203,90.772855,FAIL*,FAIL (Grade C)*
Quality gate + Huber + CVaR (K=1),SBP,12.294047,0.465375,-0.361698,16.092710,27.782820,51.291955,68.717894,FAIL*,FAIL (Grade D)*
Quality gate + Huber + CVaR (K=1),DBP,7.414690,0.409889,-0.359563,10.107225,44.573404,74.123247,88.938241,FAIL*,FAIL (Grade C)*
Quality gate + Huber + CVaR (K=2),SBP,12.016433,0.487930,0.040540,15.753520,28.118844,52.311614,70.003090,FAIL*,FAIL (Grade D)*
Quality gate + Huber + CVaR (K=2),DBP,7.198138,0.441018,-0.262605,9.839750,45.919431,75.481828,89.586150,FAIL*,FAIL (Grade C)*
Quality gate + Huber + CVaR (K=3),SBP,11.880278,0.499626,-0.001638,15.572611,28.291684,52.773164,70.577614,FAIL*,FAIL (Grade D)*
Quality gate + Huber + CVaR (K=3),DBP,7.054931,0.459683,-0.253454,9.674195,46.794253,76.477347,90.253370,FAIL*,FAIL (Grade C)*
Quality gate + Huber + CVaR (K=5),SBP,11.667821,0.512483,-0.136338,15.370648,29.335483,53.756131,71.338496,FAIL*,FAIL (Grade D)*
Quality gate + Huber + CVaR (K=5),DBP,6.881028,0.479340,-0.278471,9.495766,47.892125,77.561701,90.894519,FAIL*,FAIL (Grade C)*
