Setting,Scope,K,N participants,N query events,SBP participant-macro MAE,DBP participant-macro MAE,Mean participant-macro MAE,Paired delta vs reference
Fixed-first M0,VitalDB,2,381,22690,10.780720,6.362716,8.571718,0.000000
Fixed-first M0,VitalDB,3,381,22690,10.574650,6.143750,8.359200,0.000000
Fixed-first M0,VitalDB,5,381,22690,10.263334,5.890603,8.076968,0.000000
Huber,VitalDB,1,381,22690,11.281128,6.574104,8.927616,-0.112952
Huber,VitalDB,2,381,22690,10.871407,6.255652,8.563530,-0.008189
Huber,VitalDB,3,381,22690,10.672502,6.080643,8.376572,0.017372
Huber,VitalDB,5,381,22690,10.350388,5.864307,8.107347,0.030379
PPG quality gate,VitalDB,1,381,22690,11.259088,6.605795,8.932441,-0.108127
PPG quality gate,VitalDB,2,381,22690,10.826014,6.305029,8.565522,-0.006197
PPG quality gate,VitalDB,3,381,22690,10.573351,6.116507,8.344929,-0.014271
PPG quality gate,VitalDB,5,381,22690,10.241076,5.894944,8.068010,-0.008958
Participant CVaR,VitalDB,1,381,22690,11.603654,6.844151,9.223902,0.183334
Participant CVaR,VitalDB,2,381,22690,10.938108,6.411010,8.674559,0.102841
Participant CVaR,VitalDB,3,381,22690,10.659063,6.150826,8.404944,0.045744
Participant CVaR,VitalDB,5,381,22690,10.294744,5.875086,8.084915,0.007946
Quality gate + Huber,VitalDB,1,381,22690,11.302928,6.622956,8.962942,-0.077626
Quality gate + Huber,VitalDB,2,381,22690,10.796073,6.268686,8.532379,-0.039339
Quality gate + Huber,VitalDB,3,381,22690,10.530137,6.063375,8.296756,-0.062444
Quality gate + Huber,VitalDB,5,381,22690,10.160642,5.831310,7.995976,-0.080992
Quality gate + CVaR,VitalDB,1,381,22690,11.153859,6.719822,8.936840,-0.103728
Quality gate + CVaR,VitalDB,2,381,22690,10.809535,6.347765,8.578650,0.006931
Quality gate + CVaR,VitalDB,3,381,22690,10.588398,6.136110,8.362254,0.003054
Quality gate + CVaR,VitalDB,5,381,22690,10.302162,5.894910,8.098536,0.021568
Huber + CVaR,VitalDB,1,381,22690,11.546607,6.838776,9.192691,0.152123
Huber + CVaR,VitalDB,2,381,22690,10.923257,6.398328,8.660792,0.089074
Huber + CVaR,VitalDB,3,381,22690,10.642816,6.134457,8.388637,0.029436
Huber + CVaR,VitalDB,5,381,22690,10.270673,5.866223,8.068448,-0.008521
Quality gate + Huber + CVaR,VitalDB,1,381,22690,11.170913,6.727503,8.949208,-0.091360
Quality gate + Huber + CVaR,VitalDB,2,381,22690,10.824748,6.328895,8.576821,0.005103
Quality gate + Huber + CVaR,VitalDB,3,381,22690,10.582430,6.100102,8.341266,-0.017934
Quality gate + Huber + CVaR,VitalDB,5,381,22690,10.262149,5.844518,8.053334,-0.023635
