setting,source_scope,cohort,participants,queries,participant_macro_sbp_mae,participant_macro_dbp_mae,participant_macro_mean_mae,tail_membership_from_setting,selection_rule,oracle_only,deployable
PPG quality gate,Overall,oracle_retained_70pct_subjects,487,64259,8.452344293298086,4.984125355222219,6.718234824260152,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
PPG quality gate,MIMIC,overall,316,80874,11.716165941189844,6.709882533328158,9.213024237259003,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
PPG quality gate,MIMIC,worst_30pct_subjects,121,33906,16.81253352492077,9.468998445897707,13.140765985409242,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
PPG quality gate,MIMIC,oracle_retained_70pct_subjects,195,46968,8.553804517438861,4.99781573629782,6.7758101268683415,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
PPG quality gate,VitalDB,overall,381,22690,10.241075717477901,5.894944326209828,8.068010021843866,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
PPG quality gate,VitalDB,worst_30pct_subjects,89,5399,16.332023128353825,8.913245043492124,12.622634085922972,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
PPG quality gate,VitalDB,oracle_retained_70pct_subjects,292,17291,8.384588321697228,4.974982806216252,6.67978556395674,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Participant CVaR,Overall,overall,697,103564,11.246869872355838,6.278689174729862,8.76277952354285,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
Participant CVaR,Overall,worst_30pct_subjects,210,39305,17.397099088326826,9.490159804022149,13.443629446174487,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Participant CVaR,Overall,oracle_retained_70pct_subjects,487,64259,8.594820313107569,4.893866110763988,6.744343211935779,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Participant CVaR,MIMIC,overall,316,80874,12.394844688708833,6.765312140047051,9.580078414377942,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
Participant CVaR,MIMIC,worst_30pct_subjects,121,33906,18.046841097875895,9.92166623512709,13.984253666501495,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Participant CVaR,MIMIC,oracle_retained_70pct_subjects,195,46968,8.88770845532825,4.806753957971742,6.847231206649994,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Participant CVaR,VitalDB,overall,381,22690,10.294743777952828,5.875085875411668,8.08491482668225,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
Participant CVaR,VitalDB,worst_30pct_subjects,89,5399,16.51374197422079,8.903504993194078,12.708623483707429,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Participant CVaR,VitalDB,oracle_retained_70pct_subjects,292,17291,8.3992272044328,4.952040322388949,6.675633763410874,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Quality gate + CVaR,Overall,overall,697,103564,10.914350908425043,6.345233063144325,8.629791985784683,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
Quality gate + CVaR,Overall,worst_30pct_subjects,210,39305,16.49007160018707,9.142688764789572,12.81638018248832,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Quality gate + CVaR,Overall,oracle_retained_70pct_subjects,487,64259,8.510036031073863,5.138937996726455,6.82448701390016,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Quality gate + CVaR,MIMIC,overall,316,80874,11.652464335623716,6.888186201908622,9.27032526876617,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
Quality gate + CVaR,MIMIC,worst_30pct_subjects,121,33906,16.470061532886515,9.332404262103214,12.901232897494864,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Quality gate + CVaR,MIMIC,oracle_retained_70pct_subjects,195,46968,8.663083510655518,5.371517559428901,7.01730053504221,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Quality gate + CVaR,VitalDB,overall,381,22690,10.30216234413428,5.8949097249566105,8.098536034545447,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
Quality gate + CVaR,VitalDB,worst_30pct_subjects,89,5399,16.51727629842714,8.884760953835071,12.701018626131106,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Quality gate + CVaR,VitalDB,oracle_retained_70pct_subjects,292,17291,8.407829666284744,4.983619453140916,6.69572455971283,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Quality gate + Huber,Overall,overall,697,103564,10.802518180328637,6.167703465500952,8.485110822914796,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
Quality gate + Huber,Overall,worst_30pct_subjects,210,39305,16.48472134455274,9.138597900130325,12.811659622341532,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Quality gate + Huber,Overall,oracle_retained_70pct_subjects,487,64259,8.3522868364127,4.886619623052969,6.619453229732834,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Quality gate + Huber,MIMIC,overall,316,80874,11.576425273088962,6.573291408916327,9.074858341002646,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
Quality gate + Huber,MIMIC,worst_30pct_subjects,121,33906,16.575163947658158,9.32282254549257,12.948993246575366,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Quality gate + Huber,MIMIC,oracle_retained_70pct_subjects,195,46968,8.47464383912551,4.867172088271579,6.6709079636985456,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Quality gate + Huber,VitalDB,overall,381,22690,10.16064248134632,5.83131031558164,7.995976398463981,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
Quality gate + Huber,VitalDB,worst_30pct_subjects,89,5399,16.361760052690315,8.888135180031092,12.624947616360704,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Quality gate + Huber,VitalDB,oracle_retained_70pct_subjects,292,17291,8.270575824327091,4.899606846622731,6.58509133547491,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Quality gate + Huber + CVaR,Overall,overall,697,103564,10.865349757540468,6.17851859829192,8.521934177916194,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
Quality gate + Huber + CVaR,Overall,worst_30pct_subjects,210,39305,16.432307552698663,9.097262042755508,12.764784797727087,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Quality gate + Huber + CVaR,Overall,oracle_retained_70pct_subjects,487,64259,8.464813541969173,4.919922862486266,6.692368202227718,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Quality gate + Huber + CVaR,MIMIC,overall,316,80874,11.59262699458227,6.581221328635092,9.08692416160868,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
Quality gate + Huber + CVaR,MIMIC,worst_30pct_subjects,121,33906,16.347519895395138,9.239946682300776,12.793733288847957,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Quality gate + Huber + CVaR,MIMIC,oracle_retained_70pct_subjects,195,46968,8.64215498946249,4.93144816046305,6.78680157496277,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Quality gate + Huber + CVaR,VitalDB,overall,381,22690,10.262148689547793,5.84451843349286,8.053333561520326,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
Quality gate + Huber + CVaR,VitalDB,worst_30pct_subjects,89,5399,16.54758065981919,8.90327506090183,12.725427860360508,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Quality gate + Huber + CVaR,VitalDB,oracle_retained_70pct_subjects,292,17291,8.346383465732197,4.912226173768892,6.629304819750545,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
