Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
Quality gate + Huber (K=5),DBP,7.080210,0.469296,-0.776807,9.804763,46.865494,76.825679,89.938670,FAIL*,FAIL (Grade C)*
Quality gate + CVaR (K=1),SBP,12.606802,0.472109,-0.823649,16.406104,27.007444,49.938175,67.566832,FAIL*,FAIL (Grade D)*
Quality gate + CVaR (K=1),DBP,7.763899,0.404015,0.798082,10.392271,41.802062,72.169053,87.826743,FAIL*,FAIL (Grade C)*
Quality gate + CVaR (K=2),SBP,12.376769,0.491141,-0.430368,16.122188,26.993842,50.689962,68.603012,FAIL*,FAIL (Grade D)*
Quality gate + CVaR (K=2),DBP,7.660305,0.416376,0.912082,10.273812,42.872864,72.677251,87.960284,FAIL*,FAIL (Grade C)*
Quality gate + CVaR (K=3),SBP,12.276150,0.500769,-0.507951,15.966559,27.018572,50.845760,68.983851,FAIL*,FAIL (Grade D)*
Quality gate + CVaR (K=3),DBP,7.561691,0.431141,0.957148,10.137828,43.309345,73.227490,88.542671,FAIL*,FAIL (Grade C)*
Quality gate + CVaR (K=5),SBP,12.109429,0.510236,-0.643043,15.809377,27.734501,51.766946,69.561293,FAIL*,FAIL (Grade D)*
Quality gate + CVaR (K=5),DBP,7.421115,0.447305,0.954595,9.991702,43.960976,74.016371,89.180701,FAIL*,FAIL (Grade C)*
Huber + CVaR (K=1),SBP,12.979099,0.448059,-0.656040,16.783980,25.600317,48.521156,66.147340,FAIL*,FAIL (Grade D)*
Huber + CVaR (K=1),DBP,7.337531,0.435492,-1.202051,10.072416,45.774909,74.643272,89.143606,FAIL*,FAIL (Grade C)*
Huber + CVaR (K=2),SBP,12.772357,0.460925,-0.387936,16.595333,26.285333,49.381754,67.139006,FAIL*,FAIL (Grade D)*
Huber + CVaR (K=2),DBP,7.278834,0.439027,-1.169373,10.044244,46.508148,75.213295,89.003883,FAIL*,FAIL (Grade C)*
Huber + CVaR (K=3),SBP,12.690673,0.468666,-0.492903,16.472888,26.035561,49.740337,67.542103,FAIL*,FAIL (Grade D)*
