setting,scope,participants,participant_spearman_rho,ci95_low,ci95_high,paired_participants,low_similarity_mae,high_similarity_mae,low_minus_high_mmHg,contrast_ci95_low,contrast_ci95_high
General QGate + Huber,Overall,697,0.12695296524676947,0.05614788090957272,0.1990965287162882,578,8.425107974338717,8.584843830726854,-0.1597358563881368,-0.47453455172491515,0.15708069869788857
General QGate + Huber,MIMIC,316,0.04924634390752668,-0.0634359519873856,0.1554585223476876,240,9.185731881975864,9.190992935353865,-0.005261053378001742,-0.48752976841843887,0.5043683477826889
General QGate + Huber,VitalDB,381,0.1523332385876676,0.04977390249382686,0.24714169353422252,338,7.88501999258453,8.15444209963075,-0.26942210704622094,-0.6704810718839451,0.1601033638938012
R7-5 Causal GRU,Overall,697,0.11865392169384595,0.04636764993661287,0.19050346950389,578,8.334688576285938,8.478044051465938,-0.14335547518000086,-0.4583462924581369,0.17448524584884637
R7-5 Causal GRU,MIMIC,316,0.06517019298235606,-0.043840966113730326,0.1698576898252003,240,9.023417120445565,9.067085516997745,-0.04366839655218218,-0.5306289103385943,0.4531286476629877
R7-5 Causal GRU,VitalDB,381,0.13452763499630058,0.03806576756573624,0.23118351263807793,338,7.845650556764312,8.059789756413767,-0.214139199649458,-0.6060669603945095,0.1909721473828116

