candidate,runner,backbone,split_mode,seed,Scope,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,sbp_bias,dbp_bias,worst_30_mean_mae,retained_70_mean_mae
subject_mean_residual_ppg,subject_mean_residual,resnet_small,chronological_blocked,20260828,MIMIC,1011,40440,7.434060573577881,3.855821371078491,5.6449408531188965,-0.0405977144837379,-0.1820879578590393,10.462007522583008,3.573671102523804
inception_time_wide,population_regression,inception_time_wide,chronological_blocked,20260828,MIMIC,1011,40440,8.551533699035645,4.861703872680664,6.706618785858154,0.5294005274772644,0.1013822630047798,12.2791166305542,4.310523509979248
subject_train_mean,analysis_baseline,,chronological_blocked,20260828,MIMIC,1011,40440,9.161750913701214,4.62388581130023,6.892818362500722,0.9665373132053988,0.3358246699865158,13.298664482896946,4.13839513675751
self_attention_resunet_adaptation,population_regression,self_attention_resunet_adaptation,chronological_blocked,20260828,MIMIC,1011,40440,8.887822151184082,5.141426086425781,7.014623165130615,0.3065473139286041,0.023890595883131,12.556861877441406,4.631539821624756
compact_resnet,population_regression,resnet_small,chronological_blocked,20260828,MIMIC,1011,40440,9.326132774353027,5.292560577392578,7.309347152709961,1.07766854763031,0.1549536138772964,12.942742347717283,4.887066841125488
runet_resunet_encoder_adaptation,population_regression,runet_resunet_encoder_adaptation,chronological_blocked,20260828,MIMIC,1011,40440,9.41572380065918,5.321971893310547,7.368847846984863,-0.2035066932439804,-0.0615867227315902,13.312199592590332,4.813290596008301
patch_transformer,population_regression,patch_transformer,chronological_blocked,20260828,MIMIC,1011,40440,10.038301467895508,5.681048393249512,7.85967493057251,0.2810167968273163,-0.2146357744932174,14.032782554626465,5.205325603485107
cnn_bilstm_adaptation,population_regression,cnn_bilstm_adaptation,chronological_blocked,20260828,MIMIC,1011,40440,10.527291297912598,5.858543395996094,8.192916870117188,0.4200458228588104,-0.0845590531826019,14.57334804534912,5.449422359466553
cnn_transformer_aff_adaptation,population_regression,cnn_transformer_aff_adaptation,chronological_blocked,20260828,MIMIC,1011,40440,10.587284088134766,5.995242595672607,8.291263580322266,0.7155970335006714,0.2893725633621216,14.811964988708496,5.487453460693359
subject_mean_residual_ppg,subject_mean_residual,resnet_small,chronological_blocked,20260828,Overall,2051,82040,8.036089897155762,4.371624946594238,6.203857421875,-0.1278359442949295,-0.3141062557697296,11.116507530212402,4.0950117111206055
inception_time_wide,population_regression,inception_time_wide,chronological_blocked,20260828,Overall,2051,82040,9.124545097351074,5.561954975128174,7.343250274658203,0.1519943624734878,-0.2590604126453399,12.928871154785156,4.945519924163818
subject_train_mean,analysis_baseline,,chronological_blocked,20260828,Overall,2051,82040,9.777309056448148,5.172101301883964,7.474705179166056,0.1546560477802391,-0.1511767533393044,13.824898952804816,4.748768339750392
self_attention_resunet_adaptation,population_regression,self_attention_resunet_adaptation,chronological_blocked,20260828,Overall,2051,82040,9.358026504516602,5.750181674957275,7.554104328155518,0.2549066245555877,-0.0374847613275051,12.990711212158203,5.22034215927124
compact_resnet,population_regression,resnet_small,chronological_blocked,20260828,Overall,2051,82040,9.686907768249512,5.903383731842041,7.795145511627197,1.0174529552459717,0.0238178465515375,13.346076965332031,5.412306785583496
