split_mode,Scope,Setting,BP,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
chronological_blocked,MIMIC,subject_mean_residual_ppg,DBP,1011,40440,7.434060573577881,3.855821371078491,5.6449408531188965,3.8558214396090937,0.7951853125281443,-0.1820879765481317,5.847223157471007,74.96043521266074,92.4381800197824,97.324431256182,PASS*,PASS (Grade A)*
chronological_blocked,MIMIC,subject_mean_residual_ppg,SBP,1011,40440,7.434060573577881,3.855821371078491,5.6449408531188965,7.434060808459092,0.7817137685132376,-0.040597752175864,10.58768039551054,48.44213649851632,75.12363996043521,87.64342235410484,FAIL*,FAIL (Grade C)*
chronological_blocked,VitalDB,subject_mean_residual_ppg,DBP,1040,41600,8.621330261230469,4.873045921325684,6.747187614440918,4.873046020177695,0.6704325022665731,-0.4424432999354142,6.733017788171599,62.98317307692308,87.9639423076923,96.57692307692308,PASS*,PASS (Grade A)*
chronological_blocked,VitalDB,subject_mean_residual_ppg,SBP,1040,41600,8.621330261230469,4.873045921325684,6.747187614440918,8.621329804383791,0.5736908299530704,-0.2126416088984563,11.605096771502714,40.89903846153846,67.54807692307693,82.46634615384615,FAIL*,FAIL (Grade D)*
random_disjoint,MIMIC,subject_mean_residual_ppg,DBP,1011,40440,7.669912338256836,4.132405757904053,5.901158332824707,4.1324055461808085,0.7768541627841761,-0.1014858743439324,6.280018458855752,72.34174085064294,91.95845697329376,97.12413452027695,PASS*,PASS (Grade A)*
random_disjoint,MIMIC,subject_mean_residual_ppg,SBP,1011,40440,7.669912338256836,4.132405757904053,5.901158332824707,7.66991236514083,0.7749815753520617,0.449183599602221,10.786798975617897,46.62215628090999,73.50395647873393,86.89910979228486,FAIL*,FAIL (Grade C)*
random_disjoint,VitalDB,subject_mean_residual_ppg,DBP,1040,41600,7.627701282501221,4.205235958099365,5.916468143463135,4.205235573466007,0.771422937290143,0.0722751352878717,5.8571646086354905,69.56971153846155,91.61057692307692,97.6826923076923,PASS*,PASS (Grade A)*
random_disjoint,VitalDB,subject_mean_residual_ppg,SBP,1040,41600,7.627701282501221,4.205235958099365,5.916468143463135,7.627701199421516,0.688116270738554,0.1317146526850187,10.578649466922853,46.16826923076923,73.30288461538461,87.00961538461539,FAIL*,FAIL (Grade C)*
