Scope,N seeds,SBP gain mean,SBP gain SD,DBP gain mean,DBP gain SD,Mean MAE gain mean,Mean MAE gain SD,Positive mean-gain seeds,Direction consistency
Overall,5,0.0692553143388576,0.07763194826195524,0.09587725501414149,0.09284145683268204,0.08256628467650132,0.08040301105892475,5,1.0
MIMIC,5,0.10905957161848186,0.17312331612400927,0.09911313133209614,0.13709416706710562,0.10408635147528819,0.146117798833056,4,0.8
VitalDB,5,0.03618180610360291,0.1067000488113281,0.09318855311729983,0.06819341679328299,0.06468517961045102,0.0615245161633221,5,1.0
