Setting,Scope,N seeds,N participants,N queries per seed,SBP participant-macro MAE mean,SBP participant-macro MAE SD,DBP participant-macro MAE mean,DBP participant-macro MAE SD,Mean participant-macro MAE mean,Mean participant-macro MAE SD
resnet_small | QGH,Overall,5,628,96332,11.029012097617377,0.08801030746196119,6.336436948863667,0.036043378277804856,8.682724523240523,0.05293137508644831
resnet_small | QGH,MIMIC,5,285,74373,11.976088623539624,0.17187403086044922,6.688140000352942,0.07406053753688181,9.332114311946281,0.12091393980262705
resnet_small | QGH,VitalDB,5,343,21959,10.242082622725714,0.09802867727418854,6.044205550395903,0.041124786941020355,8.14314408656081,0.046262840994591374
inception_time_wide | QGH,Overall,5,628,96332,10.95975678327852,0.13830710769310656,6.240559693849526,0.07939636755062411,8.600158238564024,0.10598356870943283
inception_time_wide | QGH,MIMIC,5,285,74373,11.867029051921142,0.19886906904484744,6.589026869020846,0.13529519186729352,9.228027960470992,0.1641935450302753
inception_time_wide | QGH,VitalDB,5,343,21959,10.205900816622114,0.0947057942567756,5.951016997278603,0.0484804934939869,8.078458906950358,0.05945424488953573
