Seed,Scope,Reference SBP MAE,Candidate SBP MAE,SBP gain,Reference DBP MAE,Candidate DBP MAE,DBP gain,Reference mean MAE,Candidate mean MAE,Mean MAE gain,Candidate improves mean MAE
20260827,Overall,11.025481951487082,10.875861838787829,0.14962011269925313,6.392239472577018,6.1635655696675276,0.22867390290949086,8.70886071203205,8.519713704227678,0.18914700780437244,True
20260827,MIMIC,12.119919067442657,11.731040024360851,0.3888790430818059,6.777482391879422,6.466965059222345,0.3105173326570769,9.44870072966104,9.099002541791599,0.34969818786944096,True
20260827,VitalDB,10.1161100038272,10.165291043195085,-0.04918103936788398,6.072139670824292,5.911469783885827,0.1606698869384653,8.094124837325746,8.038380413540457,0.05574442378528843,True
20260828,Overall,10.968337049053135,10.810642117531746,0.15769493152138914,6.333257311233302,6.2106652202616095,0.12259209097169244,8.65079718014322,8.510653668896676,0.1401435112465439,True
20260828,MIMIC,11.79703701011376,11.70063148156282,0.09640552855094064,6.611387796787928,6.493759916830127,0.11762787995780055,9.204212403450843,9.097195699196472,0.10701670425437015,True
20260828,VitalDB,10.279767110562528,10.071146581820795,0.20862052874173287,6.102157636647099,5.975440763929166,0.12671687271793264,8.190962373604812,8.02329367287498,0.1676687007298323,True
20260829,Overall,11.090654244352221,11.067694015730462,0.02296022862175917,6.328311692465303,6.323944366866499,0.00436732559880415,8.709482968408762,8.69581919129848,0.013663777110282993,True
20260829,MIMIC,12.129279348558507,12.02853352873603,0.10074581982247643,6.704734402351619,6.7658736290189285,-0.06113922666730964,9.417006875455062,9.397203578877479,0.019803296577583396,True
20260829,VitalDB,10.227656708787231,10.269328822708342,-0.04167211392111092,6.015540636145769,5.95674366799349,0.05879696815227842,8.1215986724665,8.113036245350916,0.00856242711558508,True
20260830,Overall,11.138659424705768,11.140127353635298,-0.0014679289295305153,6.33673175182279,6.32702489828435,0.009706853538440363,8.73769558826428,8.733576125959823,0.004119462304457144,True
20260830,MIMIC,12.049372978300559,12.132414819247153,-0.08304184094659384,6.734233967747427,6.701869450494861,0.032364517252565506,9.391803473023993,9.417142134871007,-0.025338661847014166,False
20260830,VitalDB,10.381944081339837,10.315631937602124,0.06631214373771321,6.006445654042844,6.015565139158997,-0.009119485116152681,8.19419486769134,8.16559853838056,0.028596329310779822,True
20260831,Overall,10.92192781848868,10.904458590707263,0.017469227781417018,6.2916445162199235,6.177598414167644,0.11404610205227961,8.606786167354304,8.541028502437454,0.06575766491685009,True
20260831,MIMIC,11.784834713282635,11.742525405698855,0.042309307583780154,6.612861442998316,6.516666289537969,0.09619515346034735,9.198848078140474,9.129595847618413,0.06925223052206064,True
20260831,VitalDB,10.204935209111783,10.20810569778422,-0.0031704886724366332,6.024744154319511,5.8958656314255355,0.1288785228939755,8.114839681715647,8.051985664604878,0.06285401711076943,True
