Seed,Setting,Scope,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
20260827,resnet_small | QGH,Overall,SBP,12.496649441330591,0.43980968231519535,-1.4620824948419495,16.640550814537757,28.158867250757798,51.61213303990366,68.9262135116057,FAIL*,FAIL (Grade D)*
20260827,resnet_small | QGH,Overall,DBP,7.019109351482158,0.4430489857907023,-0.9886550904869741,9.733258878824556,47.52730141593655,76.50936345139725,90.4465805755097,FAIL*,FAIL (Grade C)*
20260827,inception_time_wide | QGH,Overall,SBP,12.32560532843933,0.4663263573678671,-0.984106206466035,16.274781269587958,28.250217996096833,51.681684175559525,68.85770045260142,FAIL*,FAIL (Grade D)*
20260827,inception_time_wide | QGH,Overall,DBP,6.807926711263248,0.47369672635809335,-0.6544778592200621,9.48780909624085,48.603786903624965,78.00523190632396,91.14624423867458,FAIL*,FAIL (Grade C)*
20260827,resnet_small | QGH,MIMIC,SBP,13.195975805263611,0.41446929580605796,-1.7625932187928157,17.407878640625512,26.520377018541673,49.093084856063356,66.31438828607156,FAIL*,FAIL (Grade D)*
20260827,resnet_small | QGH,MIMIC,DBP,7.270069549459938,0.4122078904239176,-0.9054345298506865,10.064890631770279,46.37839000712624,75.02991677087115,89.47870867115755,FAIL*,FAIL (Grade C)*
20260827,inception_time_wide | QGH,MIMIC,SBP,12.945352463676556,0.4468552492106669,-1.3846559330834716,16.949658616276423,26.96946472510185,49.4830113078671,66.34262433947804,FAIL*,FAIL (Grade D)*
20260827,inception_time_wide | QGH,MIMIC,DBP,7.059009342259871,0.4437919507623761,-0.730867547107005,9.803077017157216,47.33303752705955,76.62592607532304,90.1846100063195,FAIL*,FAIL (Grade C)*
20260827,resnet_small | QGH,VitalDB,SBP,10.128098976155014,0.48896222875635176,-0.4442818631010799,13.67803340188422,33.70827451158978,60.14390454938749,77.77221184935563,FAIL*,FAIL (Grade D)*
20260827,resnet_small | QGH,VitalDB,DBP,6.169131538093508,0.5352753358689306,-1.2705150456854173,8.508798479524334,51.41855275741154,81.52010565144133,93.7246687007605,FAIL*,PASS (Grade B)*
20260827,inception_time_wide | QGH,VitalDB,SBP,10.226581980882605,0.49058736257942903,0.3725168099608801,13.658390688525602,32.58800491825675,59.128375609089666,77.37601894439638,FAIL*,FAIL (Grade D)*
20260827,inception_time_wide | QGH,VitalDB,DBP,5.957534229132376,0.563659076003791,-0.39575340650292495,8.326871932120952,52.90769160708594,82.67680677626485,94.40320597477117,FAIL*,PASS (Grade B)*
20260828,resnet_small | QGH,Overall,SBP,12.4001974316847,0.445723705244902,-1.2700313048746115,16.567640479503826,28.631192127226672,52.13428559564838,69.04663040318897,FAIL*,FAIL (Grade D)*
20260828,resnet_small | QGH,Overall,DBP,6.809537182663264,0.47804311697862223,-0.8948841989092449,9.428631940417054,48.215546235934056,77.92322385084914,91.33309803595897,FAIL*,FAIL (Grade C)*
20260828,inception_time_wide | QGH,Overall,SBP,12.284267030930243,0.4642618835993477,-1.1149855967864344,16.297918386882696,28.71631441265623,52.22148403438109,69.10891500228377,FAIL*,FAIL (Grade D)*
20260828,inception_time_wide | QGH,Overall,DBP,6.760815246174867,0.4825404188449298,-1.0501654052731504,9.371456240199857,48.42108541294689,78.3083502885853,91.42756301125276,FAIL*,FAIL (Grade C)*
20260828,resnet_small | QGH,MIMIC,SBP,13.023124314180206,0.42664710233303293,-1.4150928157406826,17.25605435428955,27.263926424912267,49.881005203501275,66.50666236402995,FAIL*,FAIL (Grade D)*
20260828,resnet_small | QGH,MIMIC,DBP,6.994929475455349,0.45739201671150354,-0.9154139780367079,9.66610835883834,47.39354335578772,76.80340983959233,90.678068653947,FAIL*,FAIL (Grade C)*
20260828,inception_time_wide | QGH,MIMIC,SBP,12.890978904151552,0.4453167516111759,-1.480583341232689,16.965272242096187,27.329810549527384,50.21311497452032,66.74868567894264,FAIL*,FAIL (Grade D)*
20260828,inception_time_wide | QGH,MIMIC,DBP,6.964331913560631,0.45964617877201897,-1.220289120488592,9.612017768208954,47.29673402982265,77.17182310784828,90.7399190566469,FAIL*,FAIL (Grade C)*
20260828,resnet_small | QGH,VitalDB,SBP,10.290404589030745,0.4653827868471857,-0.778722058203894,13.97572865688337,33.261988250831095,59.765927410173504,77.64925543057515,FAIL*,FAIL (Grade D)*
20260828,resnet_small | QGH,VitalDB,DBP,6.181631495162662,0.5339843079946099,-0.825351831176342,8.57544816458241,50.99959014527074,81.71592513320279,93.55161892618061,FAIL*,PASS (Grade B)*
20260828,inception_time_wide | QGH,VitalDB,SBP,10.229392849633808,0.4857112035432172,0.12325845110742643,13.728155048210871,33.41226831822943,59.02363495605446,77.10278245821759,FAIL*,FAIL (Grade D)*
20260828,inception_time_wide | QGH,VitalDB,DBP,6.071524062446946,0.5469450530256222,-0.47397290690264005,8.481197236255232,52.22915433307528,82.15765745252516,93.7565462908147,FAIL*,PASS (Grade B)*
20260829,resnet_small | QGH,Overall,SBP,12.575260692396057,0.44739682439443873,-1.2717534528301004,16.54233685751552,27.35124361582859,50.4609060333015,67.96599260889424,FAIL*,FAIL (Grade D)*
20260829,resnet_small | QGH,Overall,DBP,6.913770438793322,0.46152088528772495,-1.1443303512333092,9.551430158127573,47.68924137358302,77.22875057094217,90.80471702030478,FAIL*,FAIL (Grade C)*
20260829,inception_time_wide | QGH,Overall,SBP,12.390742849387975,0.46566607603725285,-0.6404902494442127,16.302013742420037,27.778931196279533,51.43566000913508,68.63036166590541,FAIL*,FAIL (Grade D)*
20260829,inception_time_wide | QGH,Overall,DBP,6.880164905464227,0.4657892774982447,-0.9178391548717447,9.537470816359164,47.943570153220115,77.43948013121289,91.04866503342606,FAIL*,FAIL (Grade C)*
20260829,resnet_small | QGH,MIMIC,SBP,13.248992832978706,0.42551509003498045,-1.3773866290889591,17.276243008716477,25.82523227515362,48.02011482661719,65.23872910868191,FAIL*,FAIL (Grade D)*
20260829,resnet_small | QGH,MIMIC,DBP,7.162278194393316,0.4333652614397787,-1.118826002628416,9.858712776919383,46.37704543315451,75.71699407042878,89.91300606402861,FAIL*,FAIL (Grade C)*
20260829,inception_time_wide | QGH,MIMIC,SBP,13.018257241707115,0.4483801864260314,-0.48558797364044437,16.975721558682494,26.247428502279053,49.10249687386551,65.99169053285466,FAIL*,FAIL (Grade D)*
20260829,inception_time_wide | QGH,MIMIC,DBP,7.136843121692281,0.43634998547536685,-0.875596429513098,9.857016108746636,46.518225700186896,76.10692052223254,90.18864372823471,FAIL*,FAIL (Grade C)*
20260829,resnet_small | QGH,VitalDB,SBP,10.293395375598699,0.4808295009266993,-0.9139841455802216,13.763396528308302,32.51969579671206,58.72762876269411,77.20296916981647,FAIL*,FAIL (Grade D)*
20260829,resnet_small | QGH,VitalDB,DBP,6.072098809518841,0.5445454590566216,-1.2307111025786217,8.42750362630603,52.1335215629127,82.34892299285032,93.8248554123594,FAIL*,PASS (Grade B)*
20260829,inception_time_wide | QGH,VitalDB,SBP,10.265412556571741,0.47928148844849316,-1.1651292110705913,13.765036120763753,32.96598205747074,59.33785691516007,77.56728448472153,FAIL*,FAIL (Grade D)*
20260829,inception_time_wide | QGH,VitalDB,DBP,6.010820719684858,0.5537232855567191,-1.0609111623902396,8.363626878893596,52.771073363996535,81.95273008789107,93.96147365544878,FAIL*,PASS (Grade B)*
20260830,resnet_small | QGH,Overall,SBP,12.407079905682926,0.45883812634274845,-0.615027584829611,16.406974244533828,28.338454511481125,51.405555786239255,68.42482248889257,FAIL*,FAIL (Grade D)*
20260830,resnet_small | QGH,Overall,DBP,6.896630937965313,0.46564159242392833,-0.3310715036936209,9.577137239111984,48.02454013204335,77.04189677365777,90.73516588464892,FAIL*,FAIL (Grade C)*
20260830,inception_time_wide | QGH,Overall,SBP,12.502123099163937,0.4496456133321567,0.9132107776519144,16.532154681449956,27.756093509944773,51.20001660922643,68.33243366690196,FAIL*,FAIL (Grade D)*
20260830,inception_time_wide | QGH,Overall,DBP,6.9836161496292,0.450006209532525,-0.582499624666322,9.704578682036098,47.88543786073164,76.89968027239131,90.36145829008014,FAIL*,FAIL (Grade C)*
20260830,resnet_small | QGH,MIMIC,SBP,12.954576793267435,0.4432925306843386,-0.7646663876836359,17.04365709822693,27.401072970029443,49.65646135022118,66.22968012585211,FAIL*,FAIL (Grade D)*
20260830,resnet_small | QGH,MIMIC,DBP,7.120287942502246,0.43928538846581555,-0.4031926281182023,9.861789307989632,46.94042192731233,75.62018474446371,89.79064983260055,FAIL*,FAIL (Grade C)*
