Scope,N seeds,SBP gain mean,SBP gain SD,DBP gain mean,DBP gain SD,Mean MAE gain mean,Mean MAE gain SD,Positive mean-gain seeds,Direction consistency
Overall,4,0.0491641147487587,0.07310666076449257,0.06267809304030414,0.0643802695240224,0.05592110389453353,0.062341167701852246,4,1.0
MIMIC,4,0.03910470375265085,0.08566029726109423,0.04626208100085094,0.0802383369572127,0.04268339237675001,0.05772110192449728,3,0.75
VitalDB,4,0.05752251747147463,0.11019843076865629,0.07631821966200847,0.06559777780259322,0.06692036856674166,0.07080758660651426,4,1.0
